value,category,source_type,occurrences,suggested_action,latitude,longitude,sample_objectnummers,notes
Q2167056,other-location,ef_review_locatie,3,wikidata-resolve-naar-coordinaten,,,RP-F-2009-282-54 | RP-F-2009-282-56-1 | RP-F-2009-282-56-2,
Q2301123,other-location,ef_review_locatie,3,wikidata-resolve-naar-coordinaten,,,NG-2022-1-2-2216 | NG-1994-65-5-9-4 | NG-2022-1-12-26,
Q2488071,other-location,ef_review_locatie,3,wikidata-resolve-naar-coordinaten,,,RP-F-2009-282-13-1 | RP-F-F00938-10,
Q2736107,other-location,ef_review_locatie,3,wikidata-resolve-naar-coordinaten,,,NG-1994-32-27 | NG-2015-4-1-16 | NG-2022-31-29,
Q2782195,other-location,ef_review_locatie,3,wikidata-resolve-naar-coordinaten,,,RP-F-BR-2011-1-87 | RP-F-BR-2011-1-89 | RP-F-BR-2011-1-90,
Q35294358,other-location,ef_review_locatie,3,wikidata-resolve-naar-coordinaten,,,NG-1994-65-5-37-4 | RP-F-2009-282-38-1 | NG-1994-65-5-38-2,
Q59116940,other-location,ef_review_locatie,3,wikidata-resolve-naar-coordinaten,,,NG-NM-8969,
stm-new-1776183306173,other-location,ef_review_locatie,3,vervang-met-definitieve-stm-id,,,RP-F-2011-75-17 | RP-F-2016-47-26 | RP-F-2016-47-29,
amsterdam,other-location,ef_review_locatie,2,handmatige-match-op-naam,,,NG-2002-54 | NG-2008-4,
Djoemoe,other-location,remark-hint,2,zoek-match-op-naam-in-stm-of-wikidata,,,RP-F-2016-47-18 | RP-F-2016-47-39,
erf van Tubbergen en Daam,other-location,remark-hint,2,zoek-match-op-naam-in-stm-of-wikidata,,,NG-1994-65-4-36-2 | NG-1994-65-4-35-2,
Fandraki,other-location,remark-hint,2,zoek-match-op-naam-in-stm-of-wikidata,,,RP-F-BR-2011-1-113 | RP-F-BR-2011-1-115,
Fosibergi,other-location,remark-hint,2,zoek-match-op-naam-in-stm-of-wikidata,,,NG-1994-65-3-40-1 | NG-1994-65-3-40-3,
java,other-location,ef_review_locatie,2,handmatige-match-op-naam,,,RP-F-F01203-AL | RP-F-F01203-AM,
Krakkebrug,other-location,remark-hint,2,zoek-match-op-naam-in-stm-of-wikidata,,,NG-2009-131-1 | NG-2009-131-2,
Q107435476,other-location,ef_review_locatie,2,wikidata-resolve-naar-coordinaten,,,RP-F-BR-2011-1-199 | RP-F-F00938-11,
