objectnummer,titel,probleem_bucket,geografisch_trefwoord,geo_detail_termen,geo_detail_sources,geo_detail_broader_terms
NG-2009-124-7-2,Vakantie in Zwitserland,mixed-no-coords,Zwitserland,Zwitserland,edit,
NG-2009-124-8-1,Vakantie in Zwitserland,mixed-no-coords,Zwitserland,Zwitserland,edit,
NG-2009-124-8-2,"Boot Major Davel aan de steiger van Montreux op het Meer van Genève, Zwiterland",mixed-no-coords,Montreux | Zwitserland,Montreux | Zwitserland,edit | edit," | "
NG-2011-18-28-25,Dansende mensen in de Bijlmer na de onafhankelijkheid van Suriname,mixed-no-coords,Bijlmer,Bijlmer,edit,
NG-2015-4-1-16,"R.K. Kerk, Gravenstraat",mixed-no-coords,Suriname (Zuid-Amerika) | Paramaribo (stad) | Gravenstraat (Paramaribo) | Sint-Petrus-en-Pauluskathedraal,Suriname (Zuid-Amerika) | Paramaribo (stad) | Gravenstraat (Paramaribo) | Sint-Petrus-en-Pauluskathedraal,edit | edit | edit | edit,Zuid-Amerika | Paramaribo (district) | Paramaribo (stad) | Paramaribo (stad)
NG-2016-18-1-1,Opening luchtdienst Amsterdam-Paramaribo in 1949,mixed-no-coords,Amsterdam | Paramaribo (stad),Amsterdam | Paramaribo (stad),edit | edit," | Paramaribo (district)"
RP-F-2016-145,"Gezicht op Mäaboberg, Suriname",mixed-no-coords,Maäbo Heuvel,Maäbo Heuvel,edit,Suriname (Zuid-Amerika)
NG-2018-581,Portret van Charles Pierre Schimpf,mixed-no-coords,Den Haag,Den Haag,edit,
NG-2018-582,Portret van Maurits Adriaan de Savornin Lohman,mixed-no-coords,Den Haag,Den Haag,edit,
NG-2019-193-3,Franse tekst over de strafkolonie te St. Jean,mixed-no-coords,Suriname (Zuid-Amerika) | Saint-Jean-du-Maroni,Suriname (Zuid-Amerika) | Saint-Jean-du-Maroni,edit | edit,"Zuid-Amerika | "
NG-2021-2-18,Ketikoti,mixed-no-coords,Nederland | Suriname (Zuid-Amerika),Nederland | Suriname (Zuid-Amerika),edit | edit," | Zuid-Amerika"
RP-F-2022-73-33,"Mariënburg, Suriname",mixed-no-coords,Amsterdam | Marienburg,Amsterdam | Marienburg,edit | edit," | "
NG-2023-4-1,De nieuwe Sint: Sinterklaasfeest,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-2019-298-43-91,Surinaamse jongeman tijdens kritisch betoog,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-2019-298-43-92,"Surinaamse familie vlak na aankomst in Nederland, in de Ferdinand Bolstraat, Amsterdam",mixed-no-coords,Ferdinand Bolstraat,Ferdinand Bolstraat,edit,
RP-F-2019-298-43-97,"Affiche in een ontmoetingscentrum voor Surinaamse bewoners in de Bijlmer, Amsterdam",mixed-no-coords,Bijlmer,Bijlmer,edit,
RP-F-2019-298-43-100,"Ontmoetingscentrum voor Surinaamse bewoners in de Bijlmer, Amsterdam",mixed-no-coords,Bijlmer,Bijlmer,edit,
RP-F-2019-298-43-101,"Portret van een onbekende jonge Surinaamse man, Amsterdam",mixed-no-coords,Bijlmer,Bijlmer,edit,
KOG-AA-2-30-758,Gezicht op de Overtoomse Sluis aan de Kostverlorenvaart met rechts het Surinameplein,mixed-no-coords,Kostverlorenvaart | Surinameplein,Kostverlorenvaart | Surinameplein,edit | edit," | "
KOG-AA-2-31-824,Gezicht op de Slotervaart vanaf het Surinameplein,mixed-no-coords,Slotervaart | Surinameplein,Slotervaart | Surinameplein,edit | edit," | "
KOG-AA-2-31-825,Gezicht op de Slotervaart vanaf het Surinameplein,mixed-no-coords,Slotervaart | Surinameplein,Slotervaart | Surinameplein,edit | edit," | "
KOG-AA-2-31-826,Gezicht op de Slotervaart vanaf het Surinameplein,mixed-no-coords,Slotervaart | Surinameplein,Slotervaart | Surinameplein,edit | edit," | "
KOG-AA-2-30-810R,Gezicht op het Surinameplein,mixed-no-coords,Surinameplein,Surinameplein,edit,
KOG-AA-2-31-823,Gezicht op de Slotervaart gezien vanaf het Surinameplein,mixed-no-coords,Slotervaart | Surinameplein,Slotervaart | Surinameplein,edit | edit," | "
KOG-ZG-1-11-135,Kaart van de Colonie de Berbice gelegen in Bat.s Guiana in America. Tusschen de Colonien van Demerarie en van Surinamen (...),mixed-no-coords,Berbice | Suriname (Zuid-Amerika) | Demerary,Berbice | Suriname (Zuid-Amerika) | Demerary,edit | edit | edit," | Zuid-Amerika | "
NG-2025-20-15,Synagoge Neve Shalom in Paramaribo,mixed-no-coords,Synagoge Neve Shalom,Synagoge Neve Shalom,edit,Paramaribo (stad)
