objectnummer,titel,map_ready_termen,regio
NG-2013-22-26,Jong stel zittend tussen boeketten,Suriname (Zuid-Amerika),suriname
NG-2013-22-27,Straatbeeld met begrafenisoptocht,Paramaribo (stad),suriname
NG-2013-22-28,Portret van familie in tuin voor hun huis,Paramaribo (stad),suriname
NG-2013-22-29,Tentoonstelling van het Surinaamsche Steuncomite 20/22 Mei 1915,Paramaribo (stad),suriname
RP-P-2010-221-2569,Peerke Donders in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-2013-92-2,Gulúntu,Suriname (Zuid-Amerika),suriname
RP-P-OB-89.403,"Spotprent naar aanleiding van de afschaffing van de slavernij, 1862",Suriname (Zuid-Amerika),suriname
RP-P-OB-89.529,"Spotprent op de oppositie tegen het Reglement voor Suriname, 1865",Suriname (Zuid-Amerika),suriname
NG-2013-22-24-1,Portret van acht mensen (vier mannen en vier vrouwen) bij de trap van een veranda,Suriname (Zuid-Amerika),suriname
NG-2013-22-24-2,"Portret van een man, een vrouw en een klein kind, gezeten op een bank in een park",Suriname (Zuid-Amerika),suriname
NG-2013-22-24-3,"Portret van zes volwassenen (vier vrouwen en twee mannen) en een kind, op de veranda en trap van een huis",Suriname (Zuid-Amerika),suriname
NG-2013-22-24-4,"Portret van tien volwassenen (vier mannen, vier vrouwen, geflankeerd door twee staande bedienden), gezeten voor een feesttent",Suriname (Zuid-Amerika),suriname
NG-2013-22-24-12,Muziektent in Paramaribo (?) met zitjes er om heen,Paramaribo (stad),suriname
NG-2013-22-24-13,Muziektent in Paramaribo (?) met zitjes er om heen,Paramaribo (stad),suriname
NG-2013-22-24-14,Bezoek aan een landbouwtentoonstelling,Suriname (Zuid-Amerika),suriname
NG-2013-22-24-15,Groep Surinaamse vrouwen in kotomisi; twee vrouwen dragen een vlag,Suriname (Zuid-Amerika),suriname
NG-2013-22-24-16,"Groep mannen - een deel zit en een deel staat, die een spel spelen",Suriname (Zuid-Amerika),suriname
NG-2013-22-24-17,"Binnenkomst van een driemaster in de haven van Paramaribo (?), bekeken door een menigte",Paramaribo (stad),suriname
NG-2013-22-24-18,Een vrouw in Kotomisi,Suriname (Zuid-Amerika),suriname
NG-2013-22-24-19-1,"Gezelschap bestaande uit zes mensen, aan boord van een schip",Suriname (Zuid-Amerika),suriname
NG-2013-22-24-19-2,"Drie mannen in uniform, lopend over een breed pad",Suriname (Zuid-Amerika),suriname
