objectnummer,titel,map_ready_termen,regio
NG-2011-18-28-54,Desi Bouterse danst op straat op de Onafhankelijkheidsdag van Suriname in Paramaribo,Paramaribo (stad),suriname
NG-2011-18-28-55,Desi Bouterse en Jules Wijdenbosch lachend op straat,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-56,Man met een vogel in een kooi op straat in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-57,Kinderen en een vrouw in een opvang in Paramaribo,Paramaribo (stad),suriname
NG-2011-18-28-58,Mannen in uniform en Marrons in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-59,Vrouw bij de grenscontrole van een vliegveld in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-61,Twee vrouwen maken zichzelf buiten mooi voor huizen in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-63,Portret van een onbekende vrouw met haar hand op een bijbel en in haar haar krulspelden,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-64,Man houdt een boor vast van het winnen van bauxiet door de Billiton Maatschappij in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-65,Portret van een onbekende man met een zonnebril en twee tatoeages op zijn borst,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-66,Mannen aan het werk bij de winning van bauxiet door de Billiton Maatschappij in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-67,Jongens en meisjes op straat in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-68,"Dubbelportret van twee onbekende mannen in Suriname, één met een pijp en de ander met een pet op",Suriname (Zuid-Amerika),suriname
NG-2011-18-28-69,Man aan het werk bij de winning van bauxiet door de Billiton Maatschappij in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-70,Mannen voor liftschachten in een bauxietmijn van de Billiton Maatschappij in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-72,Twee vrouwen voor een tijdelijk onderkomen voor Marrons in Paramaribo,Paramaribo (stad),suriname
NG-2011-18-28-73,Portret van een naakte jongen in het water in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-74,Twee vrouwen in het water en een vrouw op de wortels van een mangrove in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-75,Henck Arron wordt onthaald door plaatselijke bewoners uit Asidonopo en Lantiwe tijdens een informatiecampagne over de naderende onafhankelijkheid van Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-76,Gezicht op een werkplaats waar een treinlocomotief wordt gereviseerd in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-77,Dubbelportret van een kapitein in uniform en een Marron voor huizen in het regenwoud van Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-78,Gezicht op een brand in Paramaribo,Paramaribo (stad),suriname
NG-2011-18-28-79,Gezicht op een brand in Paramaribo die wordt geblust,Paramaribo (stad),suriname
NG-2011-18-28-80,Gezicht op een brand in Paramaribo die wordt geblust,Paramaribo (stad),suriname
NG-2011-18-28-81,Gezicht op een landschap met water en bos in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-82,Gezicht op een marktkraam naast een kantoor van het Ministerie van Economische Zaken in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-83,Vrouw met een wandelstok en een hoed op straat in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-84,Gezicht op een vestiging van het Leger des Heils in Suriname met mensen op de stoep,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-85,Gezicht op Johan Adolf Pengel International Airport in Paramaribo met een kapot vliegtuig,Paramaribo (stad),suriname
NG-2011-18-28-86,Jongen die op straat sigaretten verkoopt in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-87,Gezicht op een straat in Suriname met een spandoek met een oproep om te werken bij het houtbedrijf Suhim,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-88,Gezicht op een winkel in Suriname met mensen zittend op de stoep,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-89,Portret van een meisje aan het water in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-91,Gezicht op Johan Adolf Pengel International Airport in Paramaribo met een kapot vliegtuig,Paramaribo (stad),suriname
RP-F-2016-46-10,Hindostaanse jongen op een erf in Paramaribo,Paramaribo (stad),suriname
NG-2015-4-19,Vogelvluchtperspectief Paramaribo,Suriname (Zuid-Amerika),suriname
RP-F-2016-139-116,Straat in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-2016-139-117,Paramaribo,Paramaribo (stad),suriname
RP-F-2016-139-131,"Suriname, Popti Djari",Suriname (Zuid-Amerika),suriname
NG-2015-4-1-3,"Gezicht op de haven van Paramaribo, Koffiewaag, K.W.I.M..ST",Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2015-4-1-4,"Gezicht op de haven van Paramaribo, Koffiewaag, K.W.I.M..ST",Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2015-4-1-5,Gezicht op haven van Paramaribo,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2015-4-1-6,Gezicht op haven van Paramaribo,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2015-4-1-8,Gouvernementstuin,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2015-4-1-9,Gouvernementstuin,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2015-4-1-29,Post en telefoonkantoor,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2015-4-1-35,Depot der K.W.I.M.,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2015-4-1-37,Nonnenklooster binnenplaats,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2015-4-1-40,"Majellagesticht, kerk",Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2015-4-1-41,Hoogd. Isr. Herk,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2015-4-1-61,Vertrek naar de goudvelden,Suriname (Zuid-Amerika),suriname
NG-2015-4-1-62,Lyfvisitatie in de goudvelden,Suriname (Zuid-Amerika),suriname
NG-2015-4-1-65,Kampen en goudhoudende kreek,Suriname (Zuid-Amerika),suriname
NG-2015-4-1-66,Uitspuiten van een berghelling,Suriname (Zuid-Amerika),suriname
NG-2015-4-1-67,Goudwinnen met de Longtom,Suriname (Zuid-Amerika),suriname
NG-2015-4-1-68,Hydrauliseeren,Suriname (Zuid-Amerika),suriname
NG-2015-4-1-71,Marrons en Nederlanders bij een heiligdom,Suriname (Zuid-Amerika),suriname
NG-2015-4-1-72,Ryst ontbolsteren,Suriname (Zuid-Amerika),suriname
NG-2015-4-1-73,Vier vrouwen van de Surinaamse Karaïben,Suriname (Zuid-Amerika),suriname
NG-2015-4-1-74,Arowakken,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2015-4-1-75,Groep Hindostaanse contractarbeiders,Suriname (Zuid-Amerika),suriname
NG-2015-4-1-76,"Twee broers, Marrons",Suriname (Zuid-Amerika),suriname
NG-2015-4-1-77,Groep Javanen,Suriname (Zuid-Amerika),suriname
NG-2015-4-1-78,Chineesche familie,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2015-4-1-79,Gouverneur Akrosoe en staff,Suriname (Zuid-Amerika),suriname
NG-2015-4-1-81,Marktmeid,Suriname (Zuid-Amerika),suriname
NG-2015-4-1-50,Vogelvluchtperspectief Paramaribo,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2015-4-1-52,Park en haven van het Gouvernementshotel,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2015-4-1-54,Optocht,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2011-18-28-93,Bezoek van premier Henck Arron aan de bevolking van Asidonopo na het uitroepen van de onafhankelijkheid,Suriname (Zuid-Amerika),suriname
NG-2017-92,Vergadering Bigistone 3 december 1976,Suriname (Zuid-Amerika),suriname
NG-2017-94,"Mars, 28 december 1976",Suriname (Zuid-Amerika),suriname
NG-2017-95,"Mars, 28 december 1976",Suriname (Zuid-Amerika),suriname
NG-2017-96,"Mars, 29 december 1976",Suriname (Zuid-Amerika),suriname
NG-2017-97,"Mars, 29 december 1976",Suriname (Zuid-Amerika),suriname
NG-2017-99,"Mars, 30 december 1976",Paramaribo (stad),suriname
NG-2017-100,"Mars, 30 december 1976",Suriname (Zuid-Amerika),suriname
NG-2017-101,"Mars, 30 december 1976",Suriname (Zuid-Amerika),suriname
NG-2017-102,Desi Bouterse tijdens persconferentie maart 1980 in de Memre Boekoe kazerne,Suriname (Zuid-Amerika),suriname
NG-2017-105,Perskaart van Cary Markerink,Paramaribo (stad),suriname
NG-2017-104,Manumissie van de tot slaaf gemaakte Christoffel,Suriname (Zuid-Amerika),suriname
NG-2017-98,"Mars, 29 december 1976",Suriname (Zuid-Amerika),suriname
RP-F-2018-67,Portret van Rose Charlotte van Lelyveld met haar Surinaamse kindermeisje Sara,Paramaribo (stad),suriname
RP-F-2018-68,Portret van Rose Charlotte van Lelyveld tussen planten,Paramaribo (stad),suriname
RP-P-2018-3146,Kaart van Suriname,Suriname (Zuid-Amerika),suriname
RP-P-2018-3147,Gezicht op Paramaribo,Paramaribo (stad),suriname
RP-P-2018-3148,Gezicht op de Waterkant te Paramaribo,Paramaribo (stad),suriname
RP-P-2018-3149,Plantage Libanon in Suriname,Suriname (Zuid-Amerika),suriname
NG-2019-194,Erepenning voor Verdiensten jegens Openbare Verzamelingen (type 3) toegekend aan Thédore van Lelyveld in 1900,Suriname (Zuid-Amerika),suriname
NG-2019-566,M.W.F. Treub,Suriname (Zuid-Amerika),suriname
NG-2019-193-1,"Brief aan Th. van Lelyveld van Prinze Edouard, 2 juni 1898, Paramaribo",Suriname (Zuid-Amerika),suriname
NG-2019-193-2,Brief aan Th. van Lelyveld,Suriname (Zuid-Amerika),suriname
NG-2019-193-4,Toelichting op Van Lelyvelds publicatie in De Gids,Suriname (Zuid-Amerika),suriname
NG-2019-193-5,"Brief van Sara, 1914",Suriname (Zuid-Amerika),suriname
NG-2019-193-6,"Brief van Sara, 1923",Suriname (Zuid-Amerika),suriname
NG-2020-5,Kappa gebruikt op suikerplantage,Suriname (Zuid-Amerika),suriname
NG-936-11,Kaart van de plantages rond Paramaribo,Suriname (Zuid-Amerika),suriname
NG-2009-36-12,Paramaribo,Paramaribo (stad),suriname
NG-2009-36-13,Paramaribo,Paramaribo (stad),suriname
NG-2009-36-14,Paramaribo,Paramaribo (stad),suriname
NG-2009-36-15,Paramaribo,Paramaribo (stad),suriname
NG-2009-36-16,Paramaribo en riviergezicht,Paramaribo (stad),suriname
NG-2009-36-21,Straat met palmen,Paramaribo (stad),suriname
NG-2009-36-22,Personen bij een auto,Suriname (Zuid-Amerika),suriname
NG-2009-36-23,Groepsportret,Paramaribo (stad),suriname
NG-2009-36-25,Groepsportret,Paramaribo (stad),suriname
NG-2009-36-31,Sinterklaasfeest,Paramaribo (stad),suriname
NG-2009-36-32,Groepsfoto's,Suriname (Zuid-Amerika),suriname
NG-2009-36-37,Schoolbanken,Suriname (Zuid-Amerika),suriname
NG-2021-68,Wij slaven van Suriname,Suriname (Zuid-Amerika),suriname
NG-2021-84,Wisselbrief voor slavenhouders in verband met schadeloosstelling afschaffing slavernij 1863,Suriname (Zuid-Amerika),suriname
RP-F-00-22538,"Portret van Jeanne van Amstel in een laboratorium, Suriname",Suriname (Zuid-Amerika),suriname
RP-F-00-24066,Markt in Paramaribo,Paramaribo (stad),suriname
RP-F-00-24113,Stadsgezicht Paramaribo Visverkoper op de Onoverdekte Markt aan de Waterkant.,Paramaribo (stad),suriname
RP-F-00-24233,No 2 - Monument voor Gevallenen Paramaribo (...),Paramaribo (stad),suriname
RP-P-2022-4007-20,De Lawa-Spoorweg in de Tweede Kamer,Suriname (Zuid-Amerika),suriname
NG-2022-13,"Dagboek I, Hendrik Doijer (1863-1925)",Suriname (Zuid-Amerika),suriname
NG-2022-16,"Dagboek II, Hendrik Doijer (1863-1925)",Suriname (Zuid-Amerika),suriname
NG-2022-17,"Dagboek III, Hendrik Doijer (1863-1925)",Suriname (Zuid-Amerika),suriname
NG-2022-18,"Dagboek IV, Hendrik Doijer (1863-1925)",Suriname (Zuid-Amerika),suriname
NG-2022-19,"Dagboek V, Hendrik Doijer (1863-1925)",Suriname (Zuid-Amerika),suriname
NG-2022-20,"Dagboek VI, Hendrik Doijer (1863-1925)",Suriname (Zuid-Amerika),suriname
NG-2022-21,"Dagboek VII, Hendrik Doijer (1863-1925)",Suriname (Zuid-Amerika),suriname
NG-2022-22,"Dagboek XIV, Hendrik Doijer (1863-1925)",Suriname (Zuid-Amerika),suriname
NG-2022-23,"Dagboek XV, Hendrik Doijer (1863-1925)",Suriname (Zuid-Amerika),suriname
RP-P-2022-5531-18,De Nederlandsche en de Surinaamsche Maagd,Suriname (Zuid-Amerika),suriname
NG-2022-27,Surinaamse hoofddoek ter gelegenheid van het bezoek door koningin Juliana en prins Bernhard aan Suriname in oktober 1965,Suriname (Zuid-Amerika),suriname
NG-2022-28,Sranang Fri Sranang,Suriname (Zuid-Amerika),suriname
NG-2022-29,Fri 1975,Suriname (Zuid-Amerika),suriname
KOG-ZG-1-4-128,Eens met bloed en zweet en tranen verworven voor ons volk. Nu verraden en verkwanseld. Geen waarachtig Nederlander zal deze schanddaad aanvaarden,Suriname (Zuid-Amerika),suriname
RP-F-2019-298-36-1,Portret van een onbekend jong Trio kind in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-2019-298-36-4,Begroeting tussen inheemse Surinaamse vrienden,Suriname (Zuid-Amerika),suriname
RP-F-2019-298-20-4,Filmstrip met opnames van een vrijend stel (Latour),Paramaribo (stad),suriname
RP-F-2019-299-21-2,Begroeting tussen inheemse Surinaamse vrienden,Suriname (Zuid-Amerika),suriname
RP-F-2019-299-60,Oorspronkelijke bewoners van Suriname hijsen met een touw in een rivier in Suriname,Suriname (Zuid-Amerika),suriname
NG-2023-92-3-20,Health of White Settlers in Surinam,Suriname (Zuid-Amerika),suriname
NG-2023-92-3-21,Health of White Settlers in Surinam,Suriname (Zuid-Amerika),suriname
NG-2022-1-2-1025,Hollandsche zangles aan Britsch-Indische kinderen in Suriname,Paramaribo (stad),suriname
NG-2022-1-2-2135,Groepsportret van acht meisjes in verschillende traditionele klederdracht in Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-2-2215,"Gezicht op een straat in Paramaribo, Suriname",Paramaribo (stad),suriname
NG-2022-1-2-2216,Collage met portretten van inwoners in Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-2-2217,"Paramaribo, oude Kottomissie dracht",Paramaribo (stad),suriname
NG-2022-1-2-2218,Reproductie van twee prenten met verkoopvrouwen en handwerklieden in Suriname door Pierre Jacques Benoit,Suriname (Zuid-Amerika),suriname
NG-2022-1-2-2219,Reproductie van een prent met wassende vrouwen in Suriname door Pierre Jacques Benoit,Suriname (Zuid-Amerika),suriname
NG-2022-1-2-2221,Suriname : Plantage aan de Suriname-rivier,Suriname (Zuid-Amerika),suriname
NG-2022-1-2-2222,Surinaamsche kinderen - Naailes,Suriname (Zuid-Amerika),suriname
NG-2022-1-2-2223,"Groepsportret van spelende kinderen die verblijven in het kindertehuis ""Saron"" te Paramaribo",Paramaribo (stad),suriname
NG-2022-1-2-2224,"Groepsportret van kinderen en een kerstboom die verblijven in kindertehuis ""Saron"" te Paramaribo",Paramaribo (stad),suriname
NG-2022-1-2-2226,"Groepsportret van de minderjarigen die verblijven in het kindertehuis ""Saron"" te Paramaribo",Suriname (Zuid-Amerika),suriname
NG-2022-1-2-2227,Hochzeitszug vor der Kirche in Paramaribo,Paramaribo (stad),suriname
NG-2022-1-2-2228,Gezicht op een straat met een palmbomengalerij in Paramaribo,Paramaribo (stad),suriname
NG-2022-1-2-2229,Paramaribo : Markt bij den Mailsteiger,Paramaribo (stad),suriname
NG-2022-1-2-2230,Marktvrouwen,Paramaribo (stad),suriname
NG-2022-1-2-2231,"Paramaribo, Suriname : Tadjafeest",Paramaribo (stad),suriname
NG-2022-1-2-2232,Tentboot,Suriname (Zuid-Amerika),suriname
NG-2022-1-2-2233,"Paramaribo, Dominéstraat",Paramaribo (stad),suriname
NG-2022-1-2-2235,Paramaribo (Suriname) : Waterkant,Paramaribo (stad),suriname
NG-2022-1-2-2236,De houtmarkt aan den Waterkant. Paramaribo,Paramaribo (stad),suriname
NG-2022-1-2-2239,Gezicht op een dorp in Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-2-2240,Paramaribo : Havengezicht,Paramaribo (stad),suriname
NG-2022-1-2-2242,"Pension, Paramaribo, Dutch Guiana",Paramaribo (stad),suriname
NG-2022-1-2-2244,Kroningsfeest. Kinderen der Openbare School zingende op het Gouvernementsplein. Paramaribo,Paramaribo (stad),suriname
NG-2022-1-2-2247,Suriname : Groot Chatillon,Paramaribo (stad),suriname
NG-2022-1-2-2250,Ein Plantagenkirchlein in Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-2-2251,Gezicht op een dorp in Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-2-2253,Suriname : Cottomissis,Suriname (Zuid-Amerika),suriname
NG-2022-1-2-2254,Suriname : Mulattine,Paramaribo (stad),suriname
NG-2022-1-2-2256,Portret van Gouverneur Granman en zijn kapiteins in Suriname,Paramaribo (stad),suriname
NG-2022-1-2-2258,"Paramaribo : Verkoopsters van Cassavebrood en Pindakaas op den markt, z. g. Wowojo",Paramaribo (stad),suriname
NG-2022-1-2-2259,Portret van een echtpaar te Paramaribo,Paramaribo (stad),suriname
NG-2022-1-2-2261,"Bruiloft, Paramaribo, Suriname",Paramaribo (stad),suriname
NG-2022-1-2-2264,"Suriname, Kottomissies in speciale feestdos",Suriname (Zuid-Amerika),suriname
BI-2024-2536,Metamorphosis insectorum Surinamensium. : In qua erucæ ac vermes Surinamenses ... in quibus reperta sunt ... / omnia in America ad vivùm naturali magnitudine picta atque descripta per Mariam Sibyllam Merian,Suriname (Zuid-Amerika),suriname
BI-2024-2536-3,Ananasplant (Ananas comosus) met kakkerlakken,Suriname (Zuid-Amerika),suriname
BI-2024-2536-4,"Ananas (Ananas comosus) met rups, vlinders en andere insecten",Suriname (Zuid-Amerika),suriname
BI-2024-2536-5,"Boszuurzak (Annona sericea) met nachtvlinder, rups en pop",Suriname (Zuid-Amerika),suriname
BI-2024-2536-6,"Cassaveplant (Manihot esculenta) met gebandeerde reuzenteju, vlinder, pop en rups",Suriname (Zuid-Amerika),suriname
BI-2024-2536-7,"Cassave (Manihot esculenta) met nachtvlinder, rups, tuinboa en verschillende insecten",Suriname (Zuid-Amerika),suriname
BI-2024-2536-8,"Bostomaat (Solanum stramoniifolium) met vlinders, rupsen en poppen",Suriname (Zuid-Amerika),suriname
BI-2024-2536-9,"West-Indische kers (Malpighia glabra) met twee vlinders, rups en een pop",Suriname (Zuid-Amerika),suriname
BI-2024-2536-10,"Tempelboom (Plumeria rubra) met twee vlinders, rups en pop",Suriname (Zuid-Amerika),suriname
BI-2024-2536-11,"Granaatappel (Punica granatum) met twee vlinders, rups en pop",Suriname (Zuid-Amerika),suriname
BI-2024-2536-12,"Katoenplant (Gossypium barbadense) met vlinders, rupsen en poppen",Suriname (Zuid-Amerika),suriname
BI-2024-2536-13,"Koffiemama (Erythrina fusca) met vlinders, rupsen en pop",Suriname (Zuid-Amerika),suriname
BI-2024-2536-14,"Banaan (Musa) met vlinder, rups en pop",Suriname (Zuid-Amerika),suriname
BI-2024-2536-15,"Gele mombinpruim (Spondias mombin) met twee vlinders, rups en pop",Suriname (Zuid-Amerika),suriname
BI-2024-2536-16,"Zuurzak (Annona muricata) met vlinders, rupsen, cocon en pop",Suriname (Zuid-Amerika),suriname
BI-2024-2536-17,"Watermeloen (Citrullus lanatus) met vlinder, rups en cocon",Suriname (Zuid-Amerika),suriname
BI-2024-2536-18,"Cashew (Anacardium occidentale) met vlinders, rupsen, cocon en pop",Suriname (Zuid-Amerika),suriname
BI-2024-2536-19,"Limoenplant (Citrus aurantiifolia) met vlinders, rups, pop en andere insecten",Suriname (Zuid-Amerika),suriname
BI-2024-2536-20,"Guave (Psidium guajava) met bananenspinnen, parasolmieren, rozepootvogelspinnen en andere insecten",Suriname (Zuid-Amerika),suriname
BI-2024-2536-21,"Guave (Psidium guajava) met vlinder, mot, rupsen en andere insecten",Suriname (Zuid-Amerika),suriname
BI-2024-2536-22,"Tak van een boom (Bursera simaruba) met nachtvlinder, rups en cocon",Suriname (Zuid-Amerika),suriname
BI-2024-2536-23,"Passiebloem en passievrucht (Passiflora laurifolia) met nachtvlinder, rups, bladpootwants en andere insecten",Suriname (Zuid-Amerika),suriname
BI-2024-2536-24,"Rode lelies (Hippeastrum puniceum) met nachtvlinder, rupsen, cocon en wants",Suriname (Zuid-Amerika),suriname
BI-2024-2536-25,"Banaan (Musa) met vlinders, rups, pop en wenkpootje",Suriname (Zuid-Amerika),suriname
BI-2024-2536-26,Mexicaanse papaver (Argemone mexicana) met kevers en larven,Suriname (Zuid-Amerika),suriname
BI-2024-2536-27,"Vanille-orchidee (Vanilla planifolia) met vlinder, rups en andere insecten",Suriname (Zuid-Amerika),suriname
BI-2024-2536-28,"Cacaoboom (Theobroma cacao) met nachtvlinder, rups en pop",Suriname (Zuid-Amerika),suriname
BI-2024-2536-29,"Nippel fruit (Solanum mammosum) met twee bidsprinkhanen, rupsen en andere insecten",Suriname (Zuid-Amerika),suriname
BI-2024-2536-30,Sukadecitroen (Citrus medica) met harlekijnboktor en andere insecten,Suriname (Zuid-Amerika),suriname
BI-2024-2536-31,"Pompelmoes (Citrus maxima) met twee nachtvlinders, rups en pop",Suriname (Zuid-Amerika),suriname
BI-2024-2536-32,"Wonderboom (Ricinus communis) met vlinders, nachtvlinder en rups",Suriname (Zuid-Amerika),suriname
BI-2024-2536-33,"Bloemen (Hibiscus mutabilis) met twee vlinders, rups en pop",Suriname (Zuid-Amerika),suriname
BI-2024-2536-34,"Plant (Senna obtusifolia) met twee vlinders, rups en pop",Suriname (Zuid-Amerika),suriname
BI-2024-2536-35,"Vijgenboom (Ficus carica) met twee nachtvlinders, twee rupsen en een pop",Suriname (Zuid-Amerika),suriname
BI-2024-2536-36,"Blauwe druiven (Vitis vinifera) met pop, rups en nachtvlinder",Suriname (Zuid-Amerika),suriname
BI-2024-2536-37,"Plant (Lonchocarpus monilis) met vlinders, rupsen en poppen",Suriname (Zuid-Amerika),suriname
BI-2024-2536-38,"Wenteltrap (Costus arabicus) met twee vlinders, rups, pop en andere insecten",Suriname (Zuid-Amerika),suriname
BI-2024-2536-39,"Okra (Abelmoschus esculentus) met nachtvlinder, rups en andere insecten",Suriname (Zuid-Amerika),suriname
BI-2024-2536-40,"Rode schijtnoten (Jatropha gossypiifolia) met vlinder, nachtvlinder en andere insecten",Suriname (Zuid-Amerika),suriname
BI-2024-2536-41,"Teunisbloem (Ludwigia octovalvis) met nachtvlinder, rups en pop",Suriname (Zuid-Amerika),suriname
BI-2024-2536-42,"Papaja (Carica papaya) met vlinder, rupsen en andere insecten",Suriname (Zuid-Amerika),suriname
BI-2024-2536-43,"Zoete aardappel (Ipomoea batatas) en Papegaaientong (Heliconia psittacorum) met bladpootwants, nachtvlinders, rupsen, larve en cocon",Suriname (Zuid-Amerika),suriname
BI-2024-2536-44,"Wilde oker (Abelmoschus moschatus) met nachtvlinders, rupsen en poppen",Suriname (Zuid-Amerika),suriname
BI-2024-2536-45,"Marmeldoos (Duroia eriopila) met vlinder, rups en mogelijk een pop",Suriname (Zuid-Amerika),suriname
BI-2024-2536-46,"Orleaanboom (Bixa orellana) met vlinder, nachtvlinder, rupsen en poppen",Suriname (Zuid-Amerika),suriname
BI-2024-2536-47,"Pauwenbloem (Caesalpinia pulcherrima) met nachtvlinder, rups en pop",Suriname (Zuid-Amerika),suriname
BI-2024-2536-48,"Jasmijn (Jasminum grandiflorum) met tuinboa, nachtvlinder, rups en pop",Suriname (Zuid-Amerika),suriname
BI-2024-2536-49,"Witte druiven (Vitis vinifera) met nachtvlinders, rupsen en poppen",Suriname (Zuid-Amerika),suriname
BI-2024-2536-50,"Genipapo (Genipa americana) met boktor, palmsnuitkever, orchideebij en andere insecten",Suriname (Zuid-Amerika),suriname
BI-2024-2536-51,Tak van granaatappelboom (Punica granatum) met lantaarndragers en zangcicaden,Suriname (Zuid-Amerika),suriname
BI-2024-2536-52,"Maanbloem (Ipomea alba) met suikerkever, larven en andere insecten",Suriname (Zuid-Amerika),suriname
BI-2024-2536-53,"Boom met peulen (Inga edulis) met vlinders, larve en pop",Suriname (Zuid-Amerika),suriname
BI-2024-2536-54,"Sinaasappel (Citrus sinensis) met vlinder, rups en cocon",Suriname (Zuid-Amerika),suriname
BI-2024-2536-55,"Plant (Drymonia serrulata) met vlinders, rups en pop",Suriname (Zuid-Amerika),suriname
BI-2024-2536-56,"Plant (Heliconia acuminata) met metselwesp, rupsen en andere insecten",Suriname (Zuid-Amerika),suriname
BI-2024-2536-57,"Spaanse peper (Capsicum anuum) met vlinder, rups en pop",Suriname (Zuid-Amerika),suriname
BI-2024-2536-58,Waterhyacint (Eichhornia crassipes) met gewone melkboomkikkers en reuzenwaterwants,Suriname (Zuid-Amerika),suriname
BI-2024-2536-59,"Guave (Psidium guajava) met nachtvlinder, groene en witte rups en andere insecten",Suriname (Zuid-Amerika),suriname
BI-2024-2536-60,"Boom met peulen (Inga) met gele vlinder, rupsen, boorvlieg en andere insecten",Suriname (Zuid-Amerika),suriname
BI-2024-2536-61,Zeepostelein (Sesuvium portulacastrum) met vrouwelijke pipa met jong en twee zeeslakken,Suriname (Zuid-Amerika),suriname
BI-2024-2536-62,"Plant (Pachystachys coccinea) met twee vlinders, veldwesp, rups, pop en larve",Suriname (Zuid-Amerika),suriname
NG-2025-20,Fotoalbum met stadsgezichten van Paramaribo,Paramaribo (stad),suriname
NG-2022-31-1,Portret van een jonge vrouw uit Paramaribo,Paramaribo (stad),suriname
NG-2022-31-4,Kari’na man uit Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-31-6,Kari’na vrouw uit Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-31-7,Mannen villen een anaconda,Suriname (Zuid-Amerika),suriname
NG-2022-31-16,Marrons en Redi Musu,Suriname (Zuid-Amerika),suriname
NG-2022-31-18,Plantagehouder uit Suriname met een tot slaaf gemaakte vrouw,Suriname (Zuid-Amerika),suriname
NG-2022-1-3-8,"Gezicht op een huis met zijn bewoners, vermoedelijk te Paramaribo",Paramaribo (stad),suriname
NG-2022-1-3-9,"Gezicht op een huis met zijn bewoners, vermoedelijk te Paramaribo",Paramaribo (stad),suriname
NG-2022-31-26,Vlinderjacht,Suriname (Zuid-Amerika),suriname
NG-2022-31-27,Brug bewaakt door een tot slaaf gemaakte man / Woning,Suriname (Zuid-Amerika),suriname
NG-2022-31-28,Gezicht op de vis- en houtmarkt in Paramaribo,Paramaribo (stad),suriname
NG-2022-31-29,Begrafenisstoet voor de Sint Petrus en Pauluskerk te Paramaribo,Paramaribo (stad),suriname
NG-2022-1-10,25 gezichten en reproducties van Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-11,27 gezichten en portretten van en in Suriname en Curaçao,Suriname (Zuid-Amerika),suriname
NG-2022-1-12,29 gezichten op Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-14,26 gezichten van en op Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-10-8,Gezicht op een bospad in de jungle van vermoedelijk Suriname,Suriname (Zuid-Amerika),suriname
