objectnummer,titel,geografisch_trefwoord,qid
NG-2009-94-11-4,Familiefoto van het gezin Jetten,Moengo,
NG-2009-94-12-1,Familiefoto van het gezin Jetten,Moengo,
NG-2009-94-12-2,Familiefoto van het gezin Jetten,Moengo,
NG-2009-94-12-3,Familiefoto van het gezin Jetten,Moengo,
NG-2009-94-12-4,Familiefoto van het gezin Jetten,Moengo,
NG-2009-94-12-5,Familiefoto van het gezin Jetten,Moengo,
NG-2009-94-12-6,Familiefoto van het gezin Jetten,Moengo,
NG-2009-93-1-1,Vlot op een rivier in Suriname,Suriname (Zuid-Amerika),
NG-2009-93-1-2,Dorpelingen op een kano op een rivier in Suriname,Suriname (Zuid-Amerika),
NG-2009-93-1-3,Kano's op een rivier in Suriname,Suriname (Zuid-Amerika),
NG-2009-93-1-4,Rivier in Suriname,Suriname (Zuid-Amerika),
NG-2009-93-2-1,Dorpelingen in Suriname,Suriname (Zuid-Amerika),
NG-2009-93-2-2,Rivier in Suriname,Suriname (Zuid-Amerika),
NG-2009-93-2-3,Rivierboot en kano op een rivier in Suriname,Suriname (Zuid-Amerika),
NG-2009-93-3-1,Waterkant in Paramaribo,Suriname (Zuid-Amerika)$Waterkant,
NG-2009-93-3-2,Waterkant in Paramaribo,Suriname (Zuid-Amerika)$Paramaribo (stad)$Waterkant,
NG-2009-93-3-3,Gouvernementspaleis te Paramaribo,Suriname (Zuid-Amerika)$Paramaribo (stad)$Gouvernementspaleis,
NG-2009-93-3-4,Op bezoek in een dorp in Suriname,Suriname (Zuid-Amerika),
NG-2009-93-4-1,Groep Javaanse mannen in Suriname,Suriname (Zuid-Amerika),
NG-2009-93-4-2,Groep Javaanse vrouwen in Suriname,Suriname (Zuid-Amerika),
NG-2009-93-4-3,Bijeenkomst van een groep Surinamers,Suriname (Zuid-Amerika),
NG-2009-93-4-4,Staande Javaanse vrouw,Suriname (Zuid-Amerika),
NG-2009-93-5-1,Treinstation in Suriname,Suriname (Zuid-Amerika),
NG-2009-93-5-2,Brug in aanbouw in Suriname,Suriname (Zuid-Amerika),
NG-2009-93-5-3,Huizen en watertoren in Suriname,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-5-4,Nederlanders op een steiger in Suriname,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-6-1,Bouwwerkzaamheden in Suriname,Suriname (Zuid-Amerika),
NG-2009-93-7-1,"Groepsfoto van Nederlanders in Suriname, staande op een balkon",Suriname (Zuid-Amerika),
NG-2009-93-8-1,Feestelijke bijeenkomst met Nederlanders en Surinamers,Suriname (Zuid-Amerika),
NG-2009-93-8-2,Echtpaar Jetten in hun woonkamer,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-8-3,Kantoor van het huis van het echtpaar Jetten,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-8-4,Woonkamer in het huis van het echtpaar Jetten,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-9-1,Feestelijke bijeenkomst met Nederlanders en Surinamers,Suriname (Zuid-Amerika),
NG-2009-93-9-2,Edith Jetten voert een hertje,Suriname (Zuid-Amerika),
NG-2009-93-9-3,Edith Jetten voor het huis te Moengo,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-9-4,Edith Jetten met een parasol in een boot,Suriname (Zuid-Amerika),
RP-F-2009-104,Panorama van de waterkant van Paramaribo,Paramaribo (stad)$Waterkant,
NG-2009-93-10-1,Bruiloft,Suriname (Zuid-Amerika),
NG-2009-93-10-2,Edith Jetten voor het huis te Moengo,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-10-3,Echtpaar Jetten voor het huis te Moengo,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-11-1,Bruiloft,Suriname (Zuid-Amerika),
NG-2009-93-11-2,Edith Jetten op de tennisbaan,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-11-3,Interieur van het huis van het echtpaar Jetten,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-11-4,Interieur van het huis van het echtpaar Jetten,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-12-1,Groepsfoto op de tennisclub,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-12-2,Groepsfoto op de tennisclub,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-12-3,Groepsfoto op de tennisclub,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-12-4,Groepsfoto op de tennisclub,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-13-1,Echtpaar Jetten op een rivierboot,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-2009-93-13-2,Edith Jetten te paard,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-13-3,Echtpaar Jetten met gasten op een boot,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-13-4,Huizen te Moengo,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-13-5,Groepsfoto bij de rivier,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-14-1,Echtpaar Jetten met gasten op een rivierboot,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-14-2,Echtpaar Jetten met gasten op een rivierboot,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-14-3,Echtpaar Jetten met gasten op een rivierboot,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-14-4,Echtpaar Jetten met gasten op een rivierboot,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-14-5,Echtpaar Jetten met gasten op een rivierboot,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-14-6,Echtpaar Jetten met gasten op een rivierboot,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-14-7,Echtpaar Jetten met gasten op een rivierboot,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-15-1,Groepsfoto,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-15-2,Twee vrouwen met een hertje,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-15-3,Groepsfoto met het echtpaar Jetten,Suriname (Zuid-Amerika)$Moengo,
NG-2009-93-16-1,Groep Nederlanders op bezoek in een dorp,Suriname (Zuid-Amerika),
NG-2009-93-16-2,Dansende Marron vrouwen,Suriname (Zuid-Amerika),
NG-2009-93-16-3,Groep Nederlanders op bezoek in een dorp van Marrons,Suriname (Zuid-Amerika),
NG-2009-93-17-1,Zogend kind,Suriname (Zuid-Amerika),
NG-2010-4,Diorama van een Caraïbenkamp,Suriname (Zuid-Amerika),
NG-2010-5,Leesles in de Oranjeschool in Paramaribo,Paramaribo (stad),
NG-2010-11,"Bij de onafhankelijkheid van Suriname wordt het standbeeld van koningin Wilhelmina verwijderd, 1975",Onafhankelijkheidsplein,
NG-2009-131-19,Kamp de Jong / Brugbouw bij de Wittewaterkreek,Suriname (Zuid-Amerika),
NG-2010-36-1,Hof van Justitie in Suriname,,
NG-2010-36-2,Bijeenkomst in Paramaribo,Paramaribo (stad),
NG-2010-36-3,Bruiloft te Paramaribo,Paramaribo (stad),
NG-2010-36-4,Bruiloft te Paramaribo,Paramaribo (stad),
NG-2010-36-5,Koninginnedag,Paramaribo (stad),
NG-2010-36-6,Koninginnedag,Suriname (Zuid-Amerika),
NG-2010-36-7,Koninginnedag,Paramaribo (stad),
NG-2010-36-8,Koninginnedag,Paramaribo (stad),
NG-2010-36-9,Koninginnedag,Paramaribo (stad),
NG-2010-36-10,Op Koninginnedag. Op weg naar het feestterrein,Paramaribo (stad),
NG-2010-36-11,Muziekorkest Gewapende Politie Suriname,Suriname (Zuid-Amerika),
NG-2010-36-12,Groep brandweer- of politiemannen,Suriname (Zuid-Amerika),
NG-1994-65-1-1-1,Oerwoud,Suriname (Zuid-Amerika),
NG-1994-65-1-1-2,Dorpelingen,Suriname (Zuid-Amerika),
NG-1994-65-1-2-1,Goudzoekers,Suriname (Zuid-Amerika),
NG-1994-65-1-2-2,Gezicht in het bos,Suriname (Zuid-Amerika),
NG-1994-65-1-3-1,Kapsel van een Marronmeisje$Coiffure van een boschnegerinnetje,Suriname (Zuid-Amerika),
NG-1994-65-1-3-2,W.C. op Mäabo,Suriname (Zuid-Amerika)$Maäbo Heuvel,
NG-1994-65-1-3-3,Bamboe op Tourtonne.,Suriname (Zuid-Amerika)$Plantage Ma Retraite$Plantage Tourtonne,
NG-1994-65-1-4-1,Het kapsel van een Maronmeisje.$Coiffure van een boschnegerinnetje.,Suriname (Zuid-Amerika)$Plantage Ma Retraite,
NG-1994-65-1-4-2,W.C. op Mäabo,Suriname (Zuid-Amerika)$Maäbo Heuvel,
NG-1994-65-1-4-3,Bamboe op Tourtonne,Suriname (Zuid-Amerika)$Plantage Ma Retraite$Plantage Tourtonne,
NG-1994-65-1-5-1,Anton en Piet onder sagopalm. (Tourtonne),Suriname (Zuid-Amerika)$Plantage Ma Retraite$Plantage Tourtonne,
NG-1994-65-1-5-2,Bamboe op Tourtonne,Suriname (Zuid-Amerika)$Plantage Ma Retraite$Plantage Tourtonne,
NG-1994-65-1-6-1,Dam met cacaoboomen op Tourtonne,Suriname (Zuid-Amerika)$Plantage Ma Retraite$Plantage Tourtonne,
NG-1994-65-1-6-2,Anton en Piet onder sagopalm. (Tourtonne),Suriname (Zuid-Amerika)$Plantage Ma Retraite$Plantage Tourtonne,
