objectnummer,titel,geografisch_trefwoord,qid
SK-A-1671,"Cornelis van Aerssen (1637-88), heer van Sommelsdijk. Sedert 1683 gouverneur van Suriname",Suriname (Zuid-Amerika),
SK-A-2630,Portret van een man,Suriname (Zuid-Amerika),
SK-A-2634,Portret van een vrouw,Suriname (Zuid-Amerika),
SK-A-2635,Portret van een Surinaams meisje,Suriname (Zuid-Amerika),
SK-A-2637,Portret van een Surinaams meisje,Suriname (Zuid-Amerika),
SK-A-2641,Portret van Surinaams meisje,Suriname (Zuid-Amerika),
SK-A-2252,Johan François Adriaan Cateau van Rosevelt (1823-91). Chef van het Bouwdepartement en Agent-generaal van de Immigratie in Suriname,Suriname (Zuid-Amerika),
SK-A-4060,"Portret van Joan Jacob Mauricius, gouverneur van Suriname, dichter en toneelminnaar$Portret van Joan Jacob Mauricius, gouverneur-generaal van Suriname, dichter en toneelminnaar",Suriname (Zuid-Amerika),
SK-A-4075,Surinaams landschap met een plantage van Jonas Witsen$Plantage in Suriname,Suriname (Zuid-Amerika),
SK-A-4153,Daniel Francis Schas (1772-1848). Van 1814 tot 1820 lid van de Raad van de koophandel en koloniën,Suriname (Zuid-Amerika),
SK-A-4481,De begrafenis van pastoor Joannes Vitus Janssen (1803-43) in Paramaribo,Paramaribo (stad),
SK-A-4087,Gezicht op de koffieplantage Marienbosch in Suriname$Gezicht op de koffieplantage 'Meerzorg' aan het Taparoepikanaal in Suriname?,Suriname (Zuid-Amerika)$Plantage Mariënbosch$Plantage Meerzorg,
RP-P-1992-358,Voor het volkskind - Suriname,Suriname (Zuid-Amerika),
RP-P-1950-280,Portret van Johan Raye van Breukelerwaard,,
RP-P-1910-1539,Portret van Johan Raye van Breukelerwaard,,
RP-T-1905-103,Gezicht op de molen en het kookhuis van plantage Waterland in Suriname$Gezicht op molen en kookhuis op een plantage te Suriname$Gezichten op de plantages Surimonbo en Palmeniribo,Suriname (Zuid-Amerika),
RP-T-1905-104,Gezicht op het woonhuis en een schuur op plantage Surimombo in Suriname$Gezicht op de plantage Surimonbo te Suriname$Gezichten op de plantages Surimonbo en Palmeniribo,Plantage Surimombo$Suriname (Zuid-Amerika),
RP-T-1905-105,Gezicht op drie gebouwen op plantage Surimombo in Suriname$Gezicht op drie huizen op de plantage Surimonbo te Suriname$Gezichten op de plantages Surimonbo en Palmeniribo,Plantage Surimombo$Suriname (Zuid-Amerika),
RP-T-1905-106,Sluis op de plantage Palmeneribo in Suriname$Sluis op de plantage Palmeniribo te Suriname$Een Sluijs op Palmeniribo$Gezichten op de plantages Surimonbo en Palmeniribo,Suriname (Zuid-Amerika)$Plantage Palmeneribo,
RP-T-1905-107,Gezicht op suikerplantage Palmeneribo in Suriname$Rij huizen op de plantage Palmeniribo te Suriname$Gezichten op de plantages Surimonbo en Palmeniribo,Suriname (Zuid-Amerika)$Plantage Palmeneribo,
RP-T-1905-108,Gezicht op suikerplantage Surimombo in Suriname$Woonhuis en een schuur op de plantage Surimonbo te Suriname$Gezichten op de plantages Surimonbo en Palmeniribo,Plantage Surimombo$Suriname (Zuid-Amerika),
NG-VG-1-2604,"Overlijden van Theodorus Knöffel, stichter van de plantage Elisabeths Hoop in Suriname; penning geslagen op last van zijn broer P.L. Knöffel",Commewijne$Plantage Elisabethshoop,
NG-VG-1-3990,"Matroos P.C. Bakker, wegens het redden van een drenkeling uit de Suriname-rivier, ter ere van Willem III, koning der Nederlanden",Surinamerivier,
NG-NM-8969,"Erepenning voor George, een tot slaaf gemaakte man op de plantage Leasowes$Erepenning voor George, slaaf van de plantage Leasowes",Nickerie$Coronie$Plantage Leasowes,
RP-P-1938-1112,Surinamers en Hollanders drinken thee,,
RP-P-1909-1779,Gezicht op Post Gelderland en Joden Savannah$Gezigten uit Neerland's West-Indien,Suriname (Zuid-Amerika),
RP-P-1911-322,Gezicht op de waterkant en reede van Paramaribo$Gezigten uit Neerland's West-Indien,Suriname (Zuid-Amerika),
RP-P-1911-321,Gouvernementshuis en plein te Paramaribo$Gezigten uit Neerland's West-Indien,Paramaribo (stad),
RP-P-1909-1780,Gezicht op de synagoge en het kerkhof vanaf het Cordonpad gezien$Gezigten uit Neerland's West-Indien,Suriname (Zuid-Amerika),
RP-P-1904-3844,Kankantri boom,Suriname (Zuid-Amerika),
RP-P-OB-65.081,Portret van Joan Jacob Mauricius,,
RP-P-1911-313,Gezicht op Paramaribo,Paramaribo (stad),
RP-P-1931-1685,Oude huizen en water aan het Surinameplein te Amsterdam$Surinameplein,Amsterdam,
NG-NM-140,Fort Leyden (Suriname)$Twee maquettes van het Fort Leyden,Suriname (Zuid-Amerika)$Commewijne$Fort Leyden,
NG-NM-141,Fort Leyden (Suriname)$Twee maquettes van het Fort Leyden,Suriname (Zuid-Amerika)$Commewijne$Fort Leyden,
RP-F-1994-12,Les Habitants de Suriname. Notes recueillies à l'Exposition Coloniale d'Amsterdam en 1883,Suriname (Zuid-Amerika)$Amsterdam,
RP-F-1994-16,"Kolonie Suriname. Afbeeldingen betreffende cultuurgewassen, plantages, goudvelden, volkstypen enz.",Suriname (Zuid-Amerika),
RP-T-1895-A-3085,"Gezicht op Paramaribo$Gezigt van Paramaribo in de Colonie van Surinamen, verbeeldende het gedeelte langs de Rivier en het Plein.",Paramaribo (stad),
RP-T-1971-82,Rivierlandschap met op de voorgrond een hoen,Suriname (Zuid-Amerika),
RP-T-00-1849,Wapen van de Geoctrooide Sociëteit van Suriname,Suriname (Zuid-Amerika),
RP-F-1994-12-1,"Groepsportret van Surinaamse Arowakken en Caraïben, en een Europese man, op de Koloniale Tentoonstelling, Amsterdam 1883$Groepsportret van Surinamers ('Aborigines')$No 1. Aborigines of vroegste Bewoners van Suriname, bestaande uit Arowaken en Caraïben Indianen.",Amsterdam,
RP-F-1994-12-3,"Groepsportret van zes Surinaamse vrouwen en een kind, op de Koloniale Tentoonstelling, Amsterdam 1883$Groepsportret van Surinamers ('Surinaamsche Creolen')$Verschillende typen van Surinaamsche Creolen",Amsterdam,
RP-F-1994-12-4,"Groepsportret van Surinamers tentoongesteld op de Koloniale tentoonstelling, Amsterdam 1883$Les Habitants de Suriname dans leur rotonde, à Amsterdam",Amsterdam,
RP-F-1994-12-5,"Groepsportret van de familie Ka-Ja-Roe op de Koloniale Tentoonstelling, Amsterdam 1883$Famille Ka-Ja-Roe devant sa hutte",Amsterdam,
RP-F-1994-12-6,Portret van Jean Baptiste Ka-Ja-Roe,Amsterdam,
RP-F-1994-12-7,Portret van Jean Baptiste Ka-Ja-Roe,Amsterdam,
RP-F-1994-12-8,Portret van Aliha-Kama,Amsterdam,
RP-F-1994-12-9,Portret van Aliha-Kama,Amsterdam,
RP-F-1994-12-10,Portret van Awarahena,Amsterdam,
RP-F-1994-12-11,Portret van Awarahena,Amsterdam,
RP-F-1994-12-12,Portret van Pierre Miharoe,Amsterdam,
RP-F-1994-12-13,Portret van Pierre Miharoe,Amsterdam,
RP-F-1994-12-14,Portret van Kolleté,Amsterdam,
RP-F-1994-12-15,Portret van Kolleté,Amsterdam,
RP-F-1994-12-16,Portret van Johan Ali-Wa-Ja,Amsterdam,
RP-F-1994-12-17,Portret van Johan Ali-Wa-Ja,Amsterdam,
RP-F-1994-12-18,Portret van Majoera-Ka-Ma,Amsterdam,
RP-F-1994-12-19,Portret van Majoera-Ka-Ma,Amsterdam,
RP-F-1994-12-20,Portret van Maja-Roekama,Amsterdam,
RP-F-1994-12-21,Portret van Maja-Roekama,Amsterdam,
RP-F-1994-12-22,Portret van Hendrik Jawarina,Amsterdam,
RP-F-1994-12-23,Portret van Hendrik Jawarina,Amsterdam,
RP-F-1994-12-24,Portret van Johan Koemayara,Amsterdam,
RP-F-1994-12-25,Portret van Johan Koemayara,Amsterdam,
RP-F-1994-12-26,Portret van Marioetari,Amsterdam,
RP-F-1994-12-27,Portret van Marioetari,Amsterdam,
RP-F-1994-12-28,Portret van Elisabeth Moendi,Amsterdam,
RP-F-1994-12-29,Portret van Elisabeth Moendi,Amsterdam,
RP-F-1994-12-31,Portret van Johan Hi-A-Lé,Amsterdam,
RP-F-1994-12-32,Portret van Johan Hi-A-Lé,Amsterdam,
RP-F-1994-12-33,"Interieur van een Caraïebse woning op de Koloniale Tentoonstelling, Amsterdam 1883$Interieur van een hut op de Koloniale tentoonstelling, Amsterdam 1883$Vue intérieure de la hutte Kalina",Amsterdam,
RP-F-1994-12-34,"Korjaal en Caraïebse woning op de Koloniale Tentoonstelling, Amsterdam 1883$Kano en hut op de Koloniale tentoonstelling, Amsterdam 1883$Canot et hutte Kalinas",Amsterdam,
RP-F-1994-12-35,"Johannes Kojo met trommels en korjalen op de Koloniale Tentoonstelling, Amsterdam 1883$Jongen (bosneger) met trommels en kano's op de Koloniale tentoonstelling, Amsterdam 1883$Tambours et canots des Nègres des Bois",Amsterdam,
RP-F-1994-12-36,Portret van Kwamina Baja,Amsterdam,
RP-F-1994-12-37,Portret van Kwamina Baja,Amsterdam,
RP-F-1994-12-38,Portret van Kwamina A-Pé-Sé,Amsterdam,
RP-F-1994-12-39,Portret van Kwamina A-Pé-Sé,Amsterdam,
RP-F-1994-12-40,Portret van Kojo-A-Slen-Gri,Amsterdam,
RP-F-1994-12-41,Portret van Kojo-A-Slen-Gri,Amsterdam,
RP-F-1994-12-42,Portret van Johannes Kojo,Amsterdam,
RP-F-1994-12-43,Portret van Johannes Kojo,Amsterdam,
RP-F-1994-12-44,"Marronwoning op de Koloniale Tentoonstelling, Amsterdam 1883$Marronhut op de Koloniale tentoonstelling, Amsterdam 1883$Hut van bosnegers op de Koloniale tentoonstelling, Amsterdam 1883$Hutte des Nègres des Bois",Amsterdam,
RP-F-1994-12-45,"Marronkorjalen met toeschouwers op de Koloniale Tentoonstelling, Amsterdam 1883$Kano van bosnegers op de Koloniale tentoonstelling, Amsterdam 1883$Canot des Nègres des Bois",Amsterdam,
RP-F-1994-12-46,"Groepsportret van Surinaamse vrouwen op de Koloniale Tentoonstelling, Amsterdam 1883$Groepsportret van Creoolse vrouwen op de Koloniale tentoonstelling, Amsterdam 1883$Groupe de femmes créoles",Amsterdam,
RP-F-1994-12-67,"Plantagewoning en een korjaal op de Koloniale Tentoonstelling, Amsterdam 1883$Plantagehut op de Koloniale tentoonstelling, Amsterdam 1883$Hutte des plantations",Amsterdam,
RP-F-1994-12-68,"Twee Surinaamse vrouwen voor een plantagewoning op de Koloniale Tentoonstelling, Amsterdam 1883$Twee Creoolse vrouwen voor een hut op de Koloniale tentoonstelling, Amsterdam 1883$Femmes créoles devant leurs huttes",Amsterdam,
RP-F-1994-16-1,"Gezicht op de boerderij van plantage Rosenburg en de Gemenelandsweg, Suriname$Landweg en boerderij van Rosenburg (?), Suriname$Plantage Kroonenburg. -District Commewijne$De Boerderij van Rosenburg. -Gemeene Landsweg$Kolonie Suriname. Afbeeldingen betreffende cultuurgewassen, plantages, goudvelden, volkstypen enz.",Plantage Rosenburg,
RP-F-1994-16-2,"Plantage Kroonenburg, Suriname$Plantage Kroonenburg (?), Suriname$De boerderij van Rosenburg. -Gemeene Landsweg$Plantage Kroonenburg. -District Commewijne$Kolonie Suriname Afbeeldingen betreffende Cultuurgewassen, Plantages, Goudvelden, Volkstypen enz.",Plantage Kroonenburg,
RP-F-1994-16-3,"Gekapte bomen moeten plaatsmaken voor landbouw, Suriname$De groote landbouw. Een plantklaar Terrein$Kolonie Suriname Afbeeldingen betreffende Cultuurgewassen, Plantages, Goudvelden, Volkstypen enz.",Suriname (Zuid-Amerika),
RP-F-1994-16-4,"Bananenveld, Suriname$Een Banannen-veld, negen maanden oud$Kolonie Suriname Afbeeldingen betreffende Cultuurgewassen, Plantages, Goudvelden, Volkstypen enz.",Suriname (Zuid-Amerika),
RP-F-1994-16-5,"Liberia-koffieplanten op plantage Voorburg, Suriname$Vijfjarige Liberia-koffieplanten op Plantage ""Voorburg""$Kolonie Suriname Afbeeldingen betreffende Cultuurgewassen, Plantages, Goudvelden, Volkstypen enz.",Plantage Voorburg$Voorburg (Suriname),
RP-F-1994-16-6,"Tamarindelaan op plantage Mariënburg, Suriname$De Tamarindenlaan op Mariënburg$Kolonie Suriname Afbeeldingen betreffende Cultuurgewassen, Plantages, Goudvelden, Volkstypen enz.",Plantage Mariënburg,
RP-F-1994-16-7,"Cacaobomen, Suriname$Vruchtdragende Cacao-boomen$Kolonie Suriname Afbeeldingen betreffende Cultuurgewassen, Plantages, Goudvelden, Volkstypen enz.",Suriname (Zuid-Amerika),
RP-F-1994-16-8,"Cacaovruchten, Suriname$Cacao-vruchten$Kolonie Suriname Afbeeldingen betreffende Cultuurgewassen, Plantages, Goudvelden, Volkstypen enz.",Suriname (Zuid-Amerika),
RP-F-1994-16-9,"Portret van een onbekende vrouw op de overdekte markt aan de Heiligenweg, Paramaribo$De overdekte markt aan de Heilige Weg$Kolonie Suriname Afbeeldingen betreffende Cultuurgewassen, Plantages, Goudvelden, Volkstypen enz.",Paramaribo (stad),
RP-F-1994-16-10,"Verlaten plantage die opnieuw wordt gebruikt, Suriname$Een verlaten plantage op nieuw in cultuur gebracht$Kolonie Suriname Afbeeldingen betreffende Cultuurgewassen, Plantages, Goudvelden, Volkstypen enz.",Suriname (Zuid-Amerika),
RP-F-1994-16-11,"Goudwinning in het regenwoud door het bedrijf L. & F. de Jong, Suriname$Een buitenkamp van het Placer L. & F. de Jong$Kolonie Suriname Afbeeldingen betreffende Cultuurgewassen, Plantages, Goudvelden, Volkstypen enz.",Suriname (Zuid-Amerika),
RP-F-1994-16-12,"Verplaatsbaar smalspoor voor goudwinning in het regenwoud door het bedrijf L. & F. de Jong, Suriname$Décauvilles-spoor tot vervoer van goudhoudenden grond. Placer L. & F. de Jong$Kolonie Suriname Afbeeldingen betreffende Cultuurgewassen, Plantages, Goudvelden, Volkstypen enz.",Suriname (Zuid-Amerika),
RP-F-1994-16-13,"Goudwassers, Suriname$Het goudwasschen met de Long Tom$Kolonie Suriname Afbeeldingen betreffende Cultuurgewassen, Plantages, Goudvelden, Volkstypen enz.",Suriname (Zuid-Amerika),
RP-F-1994-16-14,"Goudwassers in de groeve van L. & F. de Jong, Suriname$Het goudwaschen door middel van de ""Sluice"". Placer L. & F. de Jong$Kolonie Suriname Afbeeldingen betreffende Cultuurgewassen, Plantages, Goudvelden, Volkstypen enz.",Suriname (Zuid-Amerika),
RP-F-1994-16-15,"Uitgraven van een kwartsrif, Suriname$Het ontblooten van een Kwarts-rif$Kolonie Suriname Afbeeldingen betreffende Cultuurgewassen, Plantages, Goudvelden, Volkstypen enz.",Suriname (Zuid-Amerika),
RP-F-1994-16-16,"Blootleggen van kwartsriffen in de groeve van Jean Apau, Saramacca$Het blootleggen van Kwarts-riffen op het Placer Jean Apau Bn. Saramacca$Kolonie Suriname Afbeeldingen betreffende Cultuurgewassen, Plantages, Goudvelden, Volkstypen enz.",Saramacca,
RP-F-1994-16-17,"Groepsportret van onbekende Surinamers in de Gouvernementstuin te Paramaribo$Indianen in feestdos in de Gouvernemtstuin te Paramaribo, Suriname$Indianen in feestdos in den Gouvernements-tuin te Paramaribo$Kolonie Suriname Afbeeldingen betreffende Cultuurgewassen, Plantages, Goudvelden, Volkstypen enz.",Paramaribo (stad),
RP-F-1994-16-18,"Marrondorp in Cottica, Suriname$Dorp van bosnegers, Suriname$Onder Boschnegers. - Boven Cottica$Kolonie Suriname Afbeeldingen betreffende Cultuurgewassen, Plantages, Goudvelden, Volkstypen enz.",Cottica,
RP-F-1994-16-19,"Portret van een onbekend Surinaams bruidspaar, Paramaribo$Indiaans bruidspaar, Suriname$Een Indiaansch bruidspaar$Kolonie Suriname Afbeeldingen betreffende Cultuurgewassen, Plantages, Goudvelden, Volkstypen enz.",Paramaribo (stad),
RP-F-1994-16-20,"Groepsportret van drie onbekende Caraïben-vrouwen en een kind, Paramaribo$Groepsportret van Indiaanse meisjes, Suriname$Indiaansche meisjes (Caraiben). - Casipoere Kreek$Kolonie Suriname Afbeeldingen betreffende Cultuurgewassen, Plantages, Goudvelden, Volkstypen enz.",Paramaribo (stad),
RP-F-1994-16-21,"Grote Combéweg met het Logeergebouw, Paramaribo$De Groote Combé-weg ""Het Logeergebouw""$Kolonie Suriname Afbeeldingen betreffende Cultuurgewassen, Plantages, Goudvelden, Volkstypen enz.",Grote Combéweg,
RP-F-1994-16-22,"Gouvernementspaleis te Paramaribo$Het Gouvernements-hôtel te Paramaribo$Kolonie Suriname Afbeeldingen betreffende Cultuurgewassen, Plantages, Goudvelden, Volkstypen enz.",Gouvernementspaleis,
RP-F-1994-16-23,"Productie van bakstenen, Suriname$Het maken van steenen$Kolonie Suriname Afbeeldingen betreffende Cultuurgewassen, Plantages, Goudvelden, Volkstypen enz.",Suriname (Zuid-Amerika),
RP-T-1959-119,Gezicht op de koffieplantage Leeverpoel in Suriname$Plantagie Leeverpoel Geleegen Rievier Cottica linksop vaarende,Cottica$Suriname (Zuid-Amerika),
RP-T-1959-120,Gezicht op de plantage Cornelis Vriendschap in Suriname$Plantagie Cornelis Vriendschap,Suriname (Zuid-Amerika)$Plantage Cornelis Vriendschap,
NG-MC-83,Kistje met drie en twintig houtmonsters van Suriname$Monsters van Surinaamsch Hout,Suriname (Zuid-Amerika),
NG-MC-84,Kistje met vier en veertig houtmonsters van Suriname,Suriname (Zuid-Amerika),
RP-T-1957-252,Gezicht bij een hoeve in Suriname,Suriname (Zuid-Amerika),
NG-MC-1407,Halfmodel van het schroefstoomschip Suriname,,
RP-F-F00377,"Portret van A Fu Yeh, een Ndyuka-vrouw$A Fü Yeh. Nieuw Kondre Tapanahoni R. Surinam",Marowijne,
RP-T-1994-98,Gezicht op Sommelsdijk in Suriname,Sommelsdijk (Suriname)$Commewijne$Cottica$Suriname (Zuid-Amerika),
RP-F-F00695,Album met 28 foto's van een Nederlands-Surinaamse familie,Nederland$Suriname (Zuid-Amerika),
RP-F-F00938,Fotoalbum met bezienswaardigheden in Paramaribo$Suriname Paramaribo.,Suriname (Zuid-Amerika)$Paramaribo (stad),
RP-F-F01202,Fotoalbum van een onbekende Nederlandse familie met connecties in Suriname en Nederlands-Indië (1),Nederland$Suriname (Zuid-Amerika)$Nederlands-Indië,
RP-F-F01203,"Fotoalbum van een onbekende Nederlandse familie met opnames van Suriname, Europa en Nederlands-Indië",Nederlands-Indië$Suriname (Zuid-Amerika)$Europa$Madeira,
RP-F-F01204,Fotoalbum van een onbekende Nederlandse familie met connecties in Suriname en Nederlands-Indië (2).,Nederland$Suriname (Zuid-Amerika)$Nice$Biarritz$Donostia-San Sebastián$Lugano$Wiesbaden$Melk,
NG-412,Diorama van het Gouvernementsplein in Paramaribo,Paramaribo (stad)$Fort Zeelandia (Paramaribo)$Gouvernementsplein,
RP-F-F04145,Gebedsruimte met biddende mannen$the prayers,Suriname (Zuid-Amerika),
NG-478,"Algemene kaart van Suriname$Algemeene kaart van de Colonie of Provintie van Suriname : met de rivieren, districten, ontdekkingen door militaire togten en de grootte der gemeeten plantagien / door last, op kosten, en met approbatie der E.E. Heeren Directeurs van de Societeit, naar de naaukeurigste waarnemingen, door den ingenieur Alexander de Lavaux getekent ; in ’t koper gebragt door Hendrik de Leth, in de Visscher, te Amsteldam",Suriname (Zuid-Amerika),
NG-488-A,Narrative of a five years’ expedition against the revolted negroes of Surinam,Suriname (Zuid-Amerika),
NG-488-B,Narrative of a five years’ expedition against the revolted negroes of Surinam,Suriname (Zuid-Amerika),
RP-F-F24823,"Gezicht op de Waterkant, Paramaribo$Paramaribo Waterkant",Waterkant,
RP-F-F24824,"Gezicht op de Waterkant, Paramaribo$Paramaribo - Waterkant",Waterkant,
RP-F-F24825,"Portret van drie onbekende Surinaamse Arowakken tegen geschilderde achtergrond, Paramaribo$Surinaamse Indianen (Arowakken) tegen geschilderde achtergrond, Paramaribo",Paramaribo (stad),
RP-F-F24826,"Portret van vier onbekende Surinaamse Arowakken tegen geschilderde achtergrond, Paramaribo$Surinaamse Indianen (Arowakken) tegen geschilderde achtergrond",Paramaribo (stad),
RP-F-F00695-D,Portret van (vermoedelijk) een Surinaamse vrouw aangeduid als Marie,Paramaribo (stad),
RP-F-F00695-Z,Vrouw met drie weken oude baby Gerard op een veranda,Paramaribo (stad),
RP-F-F00695-AB,Portret van een kind met een speelgoedhond,Paramaribo (stad),
RP-F-F00695-AA,Portret van (vermoedelijk) een Surinaamse vrouw in een lange jurk staand voor een muur,Paramaribo (stad),
RP-F-F01154-N,Menigte op het Gouvernementsplein te Paramaribo met Koninginnedag,Gouvernementsplein,
RP-F-F01154-O,"Groepsportret van Marrons en waarschijnlijk Caraïben, Suriname$Groepsportret van indianen en Marrons in Suriname$Groepsportret van indianen en bosnegers, Suriname",Suriname (Zuid-Amerika),
RP-F-F01154-P,"Groepsportret van Marrons in Suriname$Groepsportret van bosnegers, Suriname",Suriname (Zuid-Amerika),
RP-F-F01154-AF,Veld met jonge bananenplanten in Suriname,Suriname (Zuid-Amerika),
RP-F-F01154-AG,Arbeiders spuiten grond af voor goudwinning in Surinaams bos,Suriname (Zuid-Amerika),
RP-F-F01154-AH,Goudwinning in Surinaams bos,Suriname (Zuid-Amerika),
RP-F-F01154-AI,"Groepsportret van gouverneur Warmolt Tonckens met gezelschap tijdens een bezoek van Marrons, ter gelegenheid van de Kroningsfeesten in Suriname in 1898$Groepsportret met de gouverneur met gezelschap bij de bosnegers, tijdens de Kroningsfeesten in Suriname$De Gouverneur van Suriname en gezelschap bij een bezoek van boschnegers ter gelegenheid van de Kroningsfeesten",Suriname (Zuid-Amerika),
RP-F-F01154-AJ,Gezicht op Paramaribo en de Surinamerivier,Paramaribo (stad),
RP-F-F01154-AK,Lokale bevolking bij postboten en korjalen aan de Surinamerivier,Surinamerivier,
RP-F-F01154-AL,Huizen aan de Grote Combéweg in Paramaribo,Grote Combéweg,
RP-F-F01154-M,Gezicht op een menigte aan de Waterkant in Paramaribo met Koninginnedag,Waterkant,
RP-F-F01154,"Fotoalbum met opnames van bezienswaardigheden in Europa, Trinidad, Haïti, Martinique en Suriname$Souvenir de Voyage",Duitsland$Zwitserland$Frankrijk$Noorwegen$Trinidad (Trinidad en Tobago)$Haïti$Martinique$Suriname (Zuid-Amerika),
RP-F-F18711,Portret van een Afro-Surinaams kindermeisje met twee Europese kinderen$Portret van Surinaams kindermeisje met twee blanke kinderen,,
RP-F-F20834,Zeven Marronmannen voor de ingang van een Marrondorp (vermoedelijk) te Suriname$Ingang van bosnegerdorp,,
RP-T-1994-166,Gezicht op de suikerplantage Catharina Sophia vanaf het water,Catharina Sophia$Saramacca$Suriname (Zuid-Amerika),
RP-T-1994-167,Gezicht op de suikerplantage Catharina Sophia,Catharina Sophia$Saramacca$Suriname (Zuid-Amerika),
RP-T-1994-281,"Album met 35 tekeningen,op één na ingeplakt, van landschappen, plantages en typen in Suriname$Album met tekeningen van Suriname",,
RP-T-1994-281-1,"Oeman kondre aan de Marowijne rivier$Nederzetting van de inheemsen bij Oeman kondre$Indianenkamp$Oeman-kondre in de Marowijne$Album met tekeningen van Suriname, p.1 (50)",Suriname (Zuid-Amerika)$Marowgne,
RP-T-1994-281-2,"Gezicht op de koffieplantage Sorgvliet aan de Commewijne rivier$Koffijplantage$Pl. Sorgvliet$Album met tekeningen van Suriname, p.2 (50)",Suriname (Zuid-Amerika)$Plantage Sorgvliet,
RP-T-1994-281-3,"De Goede Verwachting aan het Kanaal van Wanica$Album met tekeningen van Suriname, p.3 (50)",Suriname (Zuid-Amerika)$kanaal van Wanica,
RP-T-1994-281-4,"De Hernhutterkerk op de plantage Leliëndaal$De Hernhutterkerk op de plant: Leliëndaal$Album met tekeningen van Suriname, p.4 (50)","Suriname (Zuid-Amerika)$Plantage Leliëndaal, Hernhutterkerk",
RP-T-1994-281-5,"Slavenwoningen op de koffieplantage Sorgvliet$Slavenhutten op de koffieplantage Sorgvliet$Negerwoning$Gezigt op de negerhuizen op pl(antage) Sorgvliet$Album met tekeningen van Suriname, p.5 (50)",Suriname (Zuid-Amerika)$Plantage Sorgvliet,
RP-T-1994-281-6,"Suikerplantage Visserszorg aan de Commewijne rivier$Fabryk op pl.(antage) Visserszorg$Album met tekeningen van Suriname, p.6 (50)",Suriname (Zuid-Amerika)$Plantage Visserszorg,
RP-T-1994-281-7,"Gezicht op veld met suikerriet plantage Visserszorg$Veld met suikerriet$Gezigt in de grond op Visserszorg$Album met tekeningen van Suriname, p.7 (50)",Suriname (Zuid-Amerika)$Plantage Visserszorg,
RP-T-1994-281-8,"Gezicht op koffieplantage Frederiksdorp aan de Commewijne rivier$Koffyplantage$Plant: Frederiksdorp$Album met tekeningen van Suriname, p.8 (50)",Suriname (Zuid-Amerika)$Plantage Frederiksdorp,
RP-T-1994-281-9,"Plantage Visserszorg met bananenveld$Bananen Grond Visserszorg$Album met tekeningen van Suriname, p.9 (50)",Suriname (Zuid-Amerika)$Plantage Visserszorg,
RP-T-1994-281-10,"Gezicht op Port Victoria gelegen aan de Suriname rivier$Port Victoria- Boven-Suriname$Album met tekeningen van Suriname, p.10 (50)",Boven-Suriname$Port Victoria,
RP-T-1994-281-11,"Gezicht op de verlaten suikerplantage Picardie aan de Commewijne rivier$Verlaten suikerpl. Picardie$Pl(antage) Picardie$Album met tekeningen van Suriname, p.11 (50)",Suriname (Zuid-Amerika)$Plantage Picardie,
RP-T-1994-281-12,"Gezicht op stroomversnelling Tigri holo in de Suriname rivier$Tigri-holo Boven Suriname$Album met tekeningen van Suriname, p.12 (50)",Boven-Suriname$Tigri-holo,
RP-T-1994-281-13,"Gezicht op de houtgrond Berg en Dal vanaf de Suriname rivier$Houtgrond Berg en Dal Boven Suriname$Album met tekeningen van Suriname, p.13 (50)",Boven-Suriname$Berg en Dal (Suriname),
RP-T-1994-281-14,"Gezicht op de Jodensavanne aan de Suriname rivier$Joden-Savane$Album met tekeningen van Suriname, p.14 (50)",Boven-Suriname$Jodensavanne,
RP-T-1994-281-15(R),"Gezicht op Post Victoria aan de Surinamerivier$Plantage Post Victoria, Boven-Suriname$Album met tekeningen van Suriname, p.15 (r) (50)",Suriname (Zuid-Amerika)$Boven-Suriname$Plantage Port Victoria,
RP-T-1994-281-15(V),"Post Victoria gezien vanaf de Suriname rivier$Plantage Post Victoria, Rio Boven-Suriname$Album met tekeningen van Suriname, p.15 (v) (50)",Suriname (Zuid-Amerika)$Boven-Suriname$Plantage Port Victoria,
RP-T-1994-281-16,"Post Victoria gezien vanaf de Suriname rivier$Plantage Post Victoria$Album met tekeningen van Suriname, p.16 (50)",Suriname (Zuid-Amerika)$Boven-Suriname$Plantage Port Victoria,
RP-T-1994-281-17,"Gezicht op de suikerplantage Zorg en Hoop$Suikerplantage$PL Zorg & Hoop$Album met tekeningen van Suriname, p.17 (50)",Suriname (Zuid-Amerika)$Plantage Zorg & Hoop,
RP-T-1994-281-18,"Gezicht op suikerplantage Zorg en Hoop vanaf de Commewijne rivier$Gezicht op suikerplantage Zorg en Hoop vanaf de Suriname rivier$Suikerplantage$PL Zorg & Hoop$Album met tekeningen van Suriname, p.18 (50)",Suriname (Zuid-Amerika)$Plantage Zorg & Hoop,
RP-T-1994-281-19,"Jonge vrouw in koto$Meisje in Europees-locaal costuum$Album met tekeningen van Suriname, p.19 (50)",Suriname (Zuid-Amerika)$europees-locaal kostuum,
RP-T-1994-281-20,"Gezicht op de suikerplantage Catharina Sophia$Pl(antage) Catharina Sophia$Album met tekeningen van Suriname, p.20 (50)",Suriname (Zuid-Amerika)$Catharina Sophia,
RP-T-1994-281-21,"Gemanumitteerde vrouw$Vrijgemaakte slavin$""Manumittée""$Album met tekeningen van Suriname, p.29 (50)",Suriname (Zuid-Amerika),
