objectnummer;title;matched_field;suggested_street_label;matched_variant;snippet;suggested_wikidata_qid;score;geographic_keywords;current_geo_terms;wikimedia_url
NG-1994-32-16-1;Waterkant Markt;title;Waterkant;Waterkant;Waterkant Markt;Q2512080;55;Paramaribo (stad);Paramaribo (stad);https://commons.wikimedia.org/wiki/File:Waterkant_Markt_(titel_op_object),_NG-1994-32-16-1.jpg
NG-1994-32-30;Noorderkerkstraat (Surinaamsche Bank);title;Noorderkerkstraat;Noorderkerkstraat;Noorderkerkstraat (Surinaamsche Bank);;63;Paramaribo (stad);Paramaribo (stad);https://commons.wikimedia.org/wiki/File:Noorderkerkstraat_(Surinaamsche_Bank)_(titel_op_object),_NG-1994-32-30.jpg
NG-2009-125-11;Familie op bed;description;Henck Arronstraat;Henck Arronstraat;...van Jacob Isaac Spiering aan de Gravenstraat (tegenwoordig Henck Arronstraat) tegenover het Bisschopshuis in Paramaribo. De vrouw rechts...;Q2794939;43;Suriname (Zuid-Amerika) | Plantage Morgenstond | Plantage Clevia;Suriname (Zuid-Amerika) | Plantage Morgenstond | Plantage Clevia;https://commons.wikimedia.org/wiki/File:Familie_op_bed,_NG-2009-125-11.jpg
NG-2009-125-11;Familie op bed;description;Gravenstraat;Gravenstraat;...ijnlijk genomen in het huis van Jacob Isaac Spiering aan de Gravenstraat (tegenwoordig Henck Arronstraat) tegenover het Bisschopshui...;;38;Suriname (Zuid-Amerika) | Plantage Morgenstond | Plantage Clevia;Suriname (Zuid-Amerika) | Plantage Morgenstond | Plantage Clevia;https://commons.wikimedia.org/wiki/File:Familie_op_bed,_NG-2009-125-11.jpg
NG-2009-129-21-2;Op Morgenstond;description;Waterkant;Waterkant;Aan de waterkant op plantage Morgenstond. Onderdeel van het Lloyd fotoalbum...;Q2512080;35;Suriname (Zuid-Amerika) | Plantage Morgenstond;Suriname (Zuid-Amerika) | Plantage Morgenstond;
RP-F-BR-2011-1-3;Paramaribo, Jodenbreestraat;title;Jodenbreestraat;Jodenbreestraat;Paramaribo, Jodenbreestraat | Frimangron;Q98124865;61;Paramaribo (stad);Paramaribo (stad);
RP-F-BR-2011-1-55;Erf aan de Heiligenweg, Paramaribo 1975;title;Heiligenweg;Heiligenweg;Erf aan de Heiligenweg, Paramaribo 1975 | Frimangron;Q56492630;57;Paramaribo (stad);Paramaribo (stad);
RP-F-BR-2011-1-56;"Achter het mooie voorhuis staan de erfkrotten; Heiligenweg";title;Heiligenweg;Heiligenweg;"Achter het mooie voorhuis staan de erfkrotten; Heiligenweg | Frimangron";Q56492630;57;Paramaribo (stad);Paramaribo (stad);
RP-F-BR-2011-1-197;Zwartenhovenbrugstraat te Paramaribo;title;Zwartenhovenbrugstraat;Zwartenhovenbrugstraat;Zwartenhovenbrugstraat te Paramaribo | Frimangron;Q57340919;66;Paramaribo (stad);Paramaribo (stad);
RP-F-BR-2011-1-199;De kerk van de Evangelische Broeder Gemeente in de Steenbakkerijstraat;title;Steenbakkerijstraat;Steenbakkerijstraat;De kerk van de Evangelische Broeder Gemeente in de Steenbakkerijstraat | Frimangron;Q107435476;65;Suriname (Zuid-Amerika);Suriname (Zuid-Amerika);
NG-1064-3;Fort Zeelandia te Paramaribo;description;Tamarindelaan;Tamarindelaan;...ia te Paramaribo in Suriname. Op de plaat staan aangegeven: Tamarindelaan, officierswoningen en de Pont. Onderdeel van het plaatwerk...;;39;Suriname (Zuid-Amerika) | Fort Zeelandia (Paramaribo);Suriname (Zuid-Amerika) | Fort Zeelandia (Paramaribo);https://commons.wikimedia.org/wiki/File:Fort_Zeelandia_te_Paramaribo_Suriname._Gezigt_op_het_Fort_Zelandia_te_Paramaribo_(titel_op_object),_NG-1064-3.jpg
NG-1064-5;Waterkant en rede te Paramaribo;description;Kromme Elleboogstraat;Kromme Elleboogstraat;...at, Steenbakkersgracht, Breestraat, de Waag, Keizersstraat, Kromme Elleboogstraat en de Oranjestraat. Onderdeel van het plaatwerk 'Gezigten u...;Q107435467;46;Suriname (Zuid-Amerika) | Surinamerivier | Waterkant | Paramaribo (stad);Suriname (Zuid-Amerika) | Surinamerivier | Waterkant | Paramaribo (stad);https://commons.wikimedia.org/wiki/File:Waterkant_en_rede_te_Paramaribo_Suriname._Gezigt_op_de_Waterkant_en_reede_van_Paramaribo_(titel_op_object),_NG-1064-5.jpg
NG-1064-5;Waterkant en rede te Paramaribo;description;Steenbakkersgracht;Steenbakkersgracht;...laat staan de volgende straten aangegeven: Saramaccastraat, Steenbakkersgracht, Breestraat, de Waag, Keizersstraat, Kromme Elleboogstraat...;;44;Suriname (Zuid-Amerika) | Surinamerivier | Waterkant | Paramaribo (stad);Suriname (Zuid-Amerika) | Surinamerivier | Waterkant | Paramaribo (stad);https://commons.wikimedia.org/wiki/File:Waterkant_en_rede_te_Paramaribo_Suriname._Gezigt_op_de_Waterkant_en_reede_van_Paramaribo_(titel_op_object),_NG-1064-5.jpg
NG-1064-5;Waterkant en rede te Paramaribo;description;Saramaccastraat;Saramaccastraat;...artuigen. Op de plaat staan de volgende straten aangegeven: Saramaccastraat, Steenbakkersgracht, Breestraat, de Waag, Keizersstraat, Kr...;Q107435480;41;Suriname (Zuid-Amerika) | Surinamerivier | Waterkant | Paramaribo (stad);Suriname (Zuid-Amerika) | Surinamerivier | Waterkant | Paramaribo (stad);https://commons.wikimedia.org/wiki/File:Waterkant_en_rede_te_Paramaribo_Suriname._Gezigt_op_de_Waterkant_en_reede_van_Paramaribo_(titel_op_object),_NG-1064-5.jpg
NG-2009-128-4-3;Maria Gonggrijp, zittend aan de waterkant;title;Waterkant;Waterkant;Maria Gonggrijp, zittend aan de waterkant;Q2512080;55;Suriname (Zuid-Amerika) | Plantage Clevia;Suriname (Zuid-Amerika) | Plantage Clevia;https://commons.wikimedia.org/wiki/File:Maria_Gonggrijp,_zittend_aan_de_waterkant,_NG-2009-128-4-3.jpg
NG-2009-124-17-3;Jodenbreestraat in Paramaribo;title;Jodenbreestraat;Jodenbreestraat;Jodenbreestraat in Paramaribo;Q98124865;61;Paramaribo (stad) | Jodenbreestraat (Paramaribo);Paramaribo (stad) | Jodenbreestraat (Paramaribo);https://commons.wikimedia.org/wiki/File:Jodenbreestraat_in_Paramaribo,_NG-2009-124-17-3.jpg
NG-2009-124-23-1;Groepsfoto;description;Gravenstraat;Gravenstraat;Groepsfoto in het huis van Dr. van Hall in de Gravenstraat: Dhr. van der Werk, Andries Boom, Freule de Jonge en Dr. va...;;38;Paramaribo (stad);Paramaribo (stad);https://commons.wikimedia.org/wiki/File:Groepsfoto,_NG-2009-124-23-1.jpg
NG-2009-124-23-2;Groepsfoto;description;Gravenstraat;Gravenstraat;Groepsfoto in het huis van Dr. van Hall in de Gravenstraat: Andries Boom, Dr. van Hall en Dhr. van der Werk. Paramarib...;;38;Paramaribo (stad);Paramaribo (stad);https://commons.wikimedia.org/wiki/File:Groepsfoto,_NG-2009-124-23-2.jpg
NG-2009-124-24-1;Groepsfoto;description;Gravenstraat;Gravenstraat;Groepsfoto in het huis van Dr. van Hall in de Gravenstraat: Dhr. van der Werk, Dr. van Hall en Andries Boom. Paramarib...;;38;Paramaribo (stad);Paramaribo (stad);https://commons.wikimedia.org/wiki/File:Groepsfoto,_NG-2009-124-24-1.jpg
NG-2009-124-24-2;Groepsfoto op de veranda;description;Gravenstraat;Gravenstraat;...roepsfoto op de veranda van het huis van Dr. van Hall in de Gravenstraat: Freule de Jonge, Dhr. van der Werk, Dr. van Hall en Andrie...;;38;Paramaribo (stad);Paramaribo (stad);https://commons.wikimedia.org/wiki/File:Groepsfoto_op_de_veranda,_NG-2009-124-24-2.jpg
NG-2009-124-26-2;Groepsfoto in de Gravenstraat;title;Gravenstraat;Gravenstraat;Groepsfoto in de Gravenstraat;;58;Paramaribo (stad);Paramaribo (stad);https://commons.wikimedia.org/wiki/File:Groepsfoto_in_de_Gravenstraat,_NG-2009-124-26-2.jpg
NG-2009-124-27-1;Wagen bij de loods van de KWIM;description;Jodenbreestraat;Jodenbreestraat;...ard en wagen voor de ingang naar de loods van de KWIM in de Jodenbreestraat te Paramaribo, oktober 1908. Onderdeel van het fotoalbum va...;Q98124865;41;Paramaribo (stad) | Jodenbreestraat (Paramaribo);Paramaribo (stad) | Jodenbreestraat (Paramaribo);https://commons.wikimedia.org/wiki/File:Paardenkar_bij_de_loods_van_de_KWIM,_NG-2009-124-27-1.jpg
NG-2009-124-27-4;Groepsfoto in de Gravenstraat;title;Gravenstraat;Gravenstraat;Groepsfoto in de Gravenstraat;;58;Paramaribo (stad);Paramaribo (stad);https://commons.wikimedia.org/wiki/File:Groepsfoto_in_de_Gravenstraat,_NG-2009-124-27-4.jpg
NG-2009-124-56-1;Sarakreek;description;Waterkant;Waterkant;Gezelschap bij de rotsen aan de waterkant van de Sarakreek, september 1911. Onderdeel van het fotoalb...;Q2512080;35;Suriname (Zuid-Amerika);Suriname (Zuid-Amerika);https://commons.wikimedia.org/wiki/File:Sarakreek,_NG-2009-124-56-1.jpg
NG-2009-124-56-3;Sarakreek;description;Waterkant;Waterkant;Gezelschap bij de rotsen aan de waterkant van de Sarakreek, september 1911. Onderdeel van het fotoalb...;Q2512080;35;Suriname (Zuid-Amerika);Suriname (Zuid-Amerika);https://commons.wikimedia.org/wiki/File:Sarakreek,_NG-2009-124-56-3.jpg
NG-2013-22-24;Fotoalbum Suriname;description;Waterkant;Waterkant;...o’s tonen feestelijkheden bij het gouvernementspaleis en de waterkant en een bezoek aan een landbouwtentoonstelling.;Q2512080;35;Suriname (Zuid-Amerika);Suriname (Zuid-Amerika);
NG-2013-22-30;Wandelaarsters in Paramaribo, Kerkstraat met Hervormde kerk op de achtergrond;title;Kerkstraat;Kerkstraat;Wandelaarsters in Paramaribo, Kerkstraat met Hervormde kerk op de achtergrond;;56;Paramaribo (stad) | Kerkstraat (Paramaribo);Paramaribo (stad) | Kerkstraat (Paramaribo);https://commons.wikimedia.org/wiki/File:Wandelaarsters_in_Paramaribo,_Kerkstraat_met_Hervormde_kerk_op_de_achtergrond,_NG-2013-22-30.jpg
NG-2015-4-5;Groep boerenkolonisten in Suriname, waarschijnlijk de familie Taminga;description;Gemenelandsweg;Landsweg;...n waarschijnlijk gefotografeerd bij hun huis aan de Gemeene Landsweg bij Paramaribo. Samen met zijn vriend dr. C. Hoekstra verdi...;Q107435498;28;Suriname (Zuid-Amerika);Suriname (Zuid-Amerika);https://commons.wikimedia.org/wiki/File:Groep_boerenkolonisten_in_Suriname,_waarschijnlijk_de_familie_Taminga_Boeren_(titel_op_object),_NG-2015-4-5.jpg
RP-F-F00938-1;Heerenstraat in Paramaribo met bomen en voorbijgangers;title;Heerenstraat;Heerenstraat;Heerenstraat in Paramaribo met bomen en voorbijgangers | Paramaribo. Hee...;Q107435472;58;Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);https://commons.wikimedia.org/wiki/File:Heerenstraat_in_Paramaribo_met_bomen_en_voorbijgangers_Paramaribo._Heerenstraat._(titel_op_object),_RP-F-F00938-1.jpg
RP-F-F00938-11;Steenbakkerijstraat in Paramaribo met palmen en voorbijgangers;title;Steenbakkerijstraat;Steenbakkerijstraat;Steenbakkerijstraat in Paramaribo met palmen en voorbijgangers | Paramaribo. St...;Q107435476;65;Suriname (Zuid-Amerika) | Paramaribo (stad);Suriname (Zuid-Amerika) | Paramaribo (stad);https://commons.wikimedia.org/wiki/File:Steenbakkerijstraat_in_Paramaribo_met_palmen_en_voorbijgangers_Paramaribo._Steenbakkerystraat._(titel_op_object),_RP-F-F00938-11.jpg
RP-F-F00938-12;Gezicht op de Saramaccastraat met brug en kerk;title;Saramaccastraat;Saramaccastraat;Gezicht op de Saramaccastraat met brug en kerk | Paramaribo. Saramaccastraat.;Q107435480;61;Suriname (Zuid-Amerika) | Paramaribo (stad);Suriname (Zuid-Amerika) | Paramaribo (stad);https://commons.wikimedia.org/wiki/File:Gezicht_op_de_Saramaccastraat_met_brug_en_kerk_Paramaribo._Saramaccastraat._(titel_op_object),_RP-F-F00938-12.jpg
RP-F-F00938-13;Maagdenstraat in Paramaribo met bomen en voorbijgangers;title;Maagdenstraat;Maagdenstraat;Maagdenstraat in Paramaribo met bomen en voorbijgangers | Paramaribo. Maa...;Q107435475;59;Suriname (Zuid-Amerika) | Paramaribo (stad);Suriname (Zuid-Amerika) | Paramaribo (stad);https://commons.wikimedia.org/wiki/File:Maagdenstraat_in_Paramaribo_met_bomen_en_voorbijgangers_Paramaribo._Maagdenstraat._(titel_op_object),_RP-F-F00938-13.jpg
RP-F-F00938-15;Gezicht op de Gravenstraat en de St. Petrus en Pauluskerk in Paramaribo vanaf een toren;title;Gravenstraat;Gravenstraat;Gezicht op de Gravenstraat en de St. Petrus en Pauluskerk in Paramaribo vanaf een tore...;;58;Suriname (Zuid-Amerika) | Paramaribo (stad);Suriname (Zuid-Amerika) | Paramaribo (stad);https://commons.wikimedia.org/wiki/File:Gezicht_op_de_Gravenstraat_en_de_St._Petrus_en_Pauluskerk_in_Paramaribo_vanaf_een_toren_Paramaribo._Gravenstraat-_R.C._kerk._(van_den_toren_gezien.)_(titel_op_object),_RP-F-F00938-15.jpg
RP-F-2016-47-1;Paramaribo, Jodenbreestraat. 1975;title;Jodenbreestraat;Jodenbreestraat;Paramaribo, Jodenbreestraat. 1975 | Dutch Caribbean;Q98124865;61;Paramaribo (stad);Paramaribo (stad);
NG-2016-50-18;Gravenstraat in Paramaribo;title;Gravenstraat;Gravenstraat;Gravenstraat in Paramaribo;;58;Paramaribo (stad) | Gravenstraat (Paramaribo);Paramaribo (stad) | Gravenstraat (Paramaribo);https://commons.wikimedia.org/wiki/File:Prentbriefkaart_uit_album_'Als_aandenken_aan_Suriname',_NG-2016-50-18.jpg
NG-2016-50-26;Heerenstraat;title;Heerenstraat;Heerenstraat;Heerenstraat | Paramaribo. Heerenstraat (Oostelijk gedeelte);Q107435472;58;Paramaribo (stad) | Heerenstraat (Paramaribo);Paramaribo (stad) | Heerenstraat (Paramaribo);https://commons.wikimedia.org/wiki/File:Prentbriefkaart_uit_album_'Als_aandenken_aan_Suriname',_NG-2016-50-26.jpg
NG-2016-50-43;Combékerk aan de Grote Combeweg;title;Grote Combeweg;Grote Combeweg;Combékerk aan de Grote Combeweg | Kerk en School aan de Mariastraat;Q107435485;60;Paramaribo (stad) | Combé | Combékerk;Paramaribo (stad) | Combé | Combékerk;https://commons.wikimedia.org/wiki/File:Prentbriefkaart_uit_album_'Als_aandenken_aan_Suriname',_NG-2016-50-43.jpg
NG-2016-50-43;Combékerk aan de Grote Combeweg;title;Mariestraat;Mariastraat;Combékerk aan de Grote Combeweg | Kerk en School aan de Mariastraat;;51;Paramaribo (stad) | Combé | Combékerk;Paramaribo (stad) | Combé | Combékerk;https://commons.wikimedia.org/wiki/File:Prentbriefkaart_uit_album_'Als_aandenken_aan_Suriname',_NG-2016-50-43.jpg
NG-2016-50-46;Politiebureau in Paramaribo;description;Watermolenstraat;Watermolenstraat;Het Hoofdbureau van de politie aan de Waterkant, kruising Watermolenstraat, in Paramaribo. Onderdeel van een verzameling van 68 briefk...;Q107435473;42;Paramaribo (stad) | Waterkant;Paramaribo (stad) | Waterkant;https://commons.wikimedia.org/wiki/File:Prentbriefkaart_uit_album_'Als_aandenken_aan_Suriname',_NG-2016-50-46.jpg
NG-2016-50-48;Kantoor van de Koloniale Spoorwegen;title;Nieuwe Keizerstraat;Keizerstraat;Kantoor van de Koloniale Spoorwegen | Keizerstraat. Kantoor der Kol. Spoorwegen. Paramaribo, Suriname;;52;Paramaribo (stad) | Keizerstraat;Paramaribo (stad) | Keizerstraat;https://commons.wikimedia.org/wiki/File:Prentbriefkaart_uit_album_'Als_aandenken_aan_Suriname',_NG-2016-50-48.jpg
NG-2016-53-30;Rust en Vredestraat in de wijk Frimangron;title;Rust en Vredestraat;Rust en Vredestraat;Rust en Vredestraat in de wijk Frimangron;;65;Frimangron;Frimangron;
NG-2011-18-28-23;Gezicht op het Oranjeplein met een standbeeld van Wilhelmina in Paramaribo;title;Oranjeplein;Oranjeplein;Gezicht op het Oranjeplein met een standbeeld van Wilhelmina in Paramaribo;;57;Oranjeplein (Paramaribo);Oranjeplein (Paramaribo);
NG-2011-18-28-35;Gezicht op het Oranjeplein met een standbeeld van Jopie Pengel in Paramaribo;title;Oranjeplein;Oranjeplein;Gezicht op het Oranjeplein met een standbeeld van Jopie Pengel in Paramaribo;;57;Oranjeplein (Paramaribo);Oranjeplein (Paramaribo);
NG-2015-4-1-7;Hoek Gravenstraat en Gouvernementplein;title;Gravenstraat;Gravenstraat;Hoek Gravenstraat en Gouvernementplein;;58;Suriname (Zuid-Amerika) | Paramaribo (stad) | Gravenstraat (Paramaribo) | Gouvernementsplein;Suriname (Zuid-Amerika) | Paramaribo (stad) | Gravenstraat (Paramaribo) | Gouvernementsplein;https://commons.wikimedia.org/wiki/File:Hoek_Gravenstraat_en_Gouvernementplein_(titel_op_object),_NG-2015-4-1-7.jpg
NG-2015-4-1-16;R.K. Kerk, Gravenstraat;title;Gravenstraat;Gravenstraat;R.K. Kerk, Gravenstraat;;58;Suriname (Zuid-Amerika) | Paramaribo (stad) | Gravenstraat (Paramaribo) | Sint-Petrus-en-Pauluskathedraal;Suriname (Zuid-Amerika) | Paramaribo (stad) | Gravenstraat (Paramaribo) | Sint-Petrus-en-Pauluskathedraal;https://commons.wikimedia.org/wiki/File:R.K._Kerk,_Gravenstraat,_NG-2015-4-1-16.jpg
NG-2015-4-1-18;Heerenstraat, hoek Oranjestraat;title;Heerenstraat;Heerenstraat;Heerenstraat, hoek Oranjestraat;Q107435472;58;Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo) | Oranjestraat | Onafhankelijkheidsplein;Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo) | Oranjestraat | Onafhankelijkheidsplein;https://commons.wikimedia.org/wiki/File:Heerenstraat,_hoek_Oranjestraat,_NG-2015-4-1-18.jpg
NG-2015-4-1-27;Gravenstraat by de Pastorie;title;Gravenstraat;Gravenstraat;Gravenstraat by de Pastorie;;58;Suriname (Zuid-Amerika) | Paramaribo (stad) | Gravenstraat (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Gravenstraat (Paramaribo);https://commons.wikimedia.org/wiki/File:Gravenstraat_by_de_Pastorie,_NG-2015-4-1-27.jpg
NG-2015-4-1-27;Gravenstraat by de Pastorie;description;Henck Arronstraat;Henck Arronstraat;Gezicht in de Gravenstraat (nu Henck Arronstraat) in Paramaribo.;Q2794939;43;Suriname (Zuid-Amerika) | Paramaribo (stad) | Gravenstraat (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Gravenstraat (Paramaribo);https://commons.wikimedia.org/wiki/File:Gravenstraat_by_de_Pastorie,_NG-2015-4-1-27.jpg
NG-2015-4-1-30;Heerenstraat;title;Heerenstraat;Heerenstraat;Heerenstraat;Q107435472;58;Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);https://commons.wikimedia.org/wiki/File:Heerenstraat,_NG-2015-4-1-30.jpg
NG-2015-4-1-36;Chineesch Hotel;description;Dr. Sophie Redmondstraat;Dr. Sophie Redmondstraat;...ning van de Chinese Sociëteit aan de Steenbakkersgracht (nu Dr. Sophie Redmondstraat), te Paramaribo. 1885. De Chinese Sociëteit ofwel het Veren...;Q107435482;46;Suriname (Zuid-Amerika) | Paramaribo (stad) | Steenbakkerstraat | Chinese Sociëteit;Suriname (Zuid-Amerika) | Paramaribo (stad) | Steenbakkerstraat | Chinese Sociëteit;https://commons.wikimedia.org/wiki/File:Chineesch_Hotel_(titel_op_object),_NG-2015-4-1-36.jpg
NG-2015-4-1-36;Chineesch Hotel;description;Steenbakkersgracht;Steenbakkersgracht;Opening van de Chinese Sociëteit aan de Steenbakkersgracht (nu Dr. Sophie Redmondstraat), te Paramaribo. 1885. De Chin...;;44;Suriname (Zuid-Amerika) | Paramaribo (stad) | Steenbakkerstraat | Chinese Sociëteit;Suriname (Zuid-Amerika) | Paramaribo (stad) | Steenbakkerstraat | Chinese Sociëteit;https://commons.wikimedia.org/wiki/File:Chineesch_Hotel_(titel_op_object),_NG-2015-4-1-36.jpg
NG-2015-4-1-47;Herrnhutterkerk, uitgang;description;Steenbakkerijstraat;Steenbakkerijstraat;...Grote Stadskerk van de Evangelische Broedergemeente aan de Steenbakkerijstraat te Paramaribo.;Q107435476;45;Suriname (Zuid-Amerika) | Paramaribo (stad) | Grote Stadskerk;Suriname (Zuid-Amerika) | Paramaribo (stad) | Grote Stadskerk;https://commons.wikimedia.org/wiki/File:Herrnhutterkerk,_uitgang_(titel_op_object),_NG-2015-4-1-47.jpg
