objectnummer;title;matched_field;suggested_street_label;matched_variant;snippet;suggested_wikidata_qid;score;geographic_keywords;current_geo_terms;wikimedia_url
RP-P-2018-3148;Gezicht op de Waterkant te Paramaribo;title;Waterkant;Waterkant;Gezicht op de Waterkant te Paramaribo | Paramaribo;Q2512080;55;Paramaribo (stad);Paramaribo (stad);https://commons.wikimedia.org/wiki/File:Gezicht_op_de_kade_en_haven_van_Paramaribo_aan_de_Suriname_Rivier,_RP-P-2018-3148.jpg
NG-2008-48-19;Menigte en feestavond;description;Waterkant;Waterkant;...et twee foto's: een menigte verzameld op een steiger aan de waterkant en een optreden van iemand verkleed in koto op een feestavo...;Q2512080;35;Suriname (Zuid-Amerika) | Albina | Moengo;Suriname (Zuid-Amerika) | Albina | Moengo;
NG-2009-36-20;Dansen en Heerenstraat;title;Heerenstraat;Heerenstraat;Dansen en Heerenstraat;Q107435472;58;Paramaribo (stad) | Heerenstraat (Paramaribo);Paramaribo (stad) | Heerenstraat (Paramaribo);
RP-F-00-24113;Stadsgezicht Paramaribo Visverkoper op de Onoverdekte Markt aan de Waterkant.;title;Waterkant;Waterkant;...zicht Paramaribo Visverkoper op de Onoverdekte Markt aan de Waterkant.;Q2512080;55;Paramaribo (stad);Paramaribo (stad);
NG-2022-1-2-2235;Paramaribo (Suriname) : Waterkant;title;Waterkant;Waterkant;Paramaribo (Suriname) : Waterkant;Q2512080;55;Paramaribo (stad);Paramaribo (stad);
NG-2022-1-2-2236;De houtmarkt aan den Waterkant. Paramaribo;title;Waterkant;Waterkant;De houtmarkt aan den Waterkant. Paramaribo;Q2512080;55;Paramaribo (stad);Paramaribo (stad);
NG-2022-1-2-2244;Kroningsfeest. Kinderen der Openbare School zingende op het Gouvernementsplein. Paramaribo;title;Gouvernementsplein;Gouvernementsplein;Kroningsfeest. Kinderen der Openbare School zingende op het Gouvernementsplein. Paramaribo;;64;Paramaribo (stad);Paramaribo (stad);
NG-2025-20;Fotoalbum met stadsgezichten van Paramaribo;description;Gouvernementsplein;Gouvernementsplein;...del Castilho. Het album bevat foto's van de Waterkant, het Gouvernementsplein, de rede van Paramaribo, de Watermolenstraat, de markt aan...;;44;Paramaribo (stad);Paramaribo (stad);
NG-2025-20;Fotoalbum met stadsgezichten van Paramaribo;description;Watermolenstraat;Watermolenstraat;...terkant, het Gouvernementsplein, de rede van Paramaribo, de Watermolenstraat, de markt aan de Heiligenweg voor de overdekking, de Keizer...;Q107435473;42;Paramaribo (stad);Paramaribo (stad);
NG-2025-20;Fotoalbum met stadsgezichten van Paramaribo;description;Saramaccastraat;Saramaccastraat;...g voor de overdekking, de Keizersstraat, de Heiligenweg, de Saramaccastraat, de Lutherse kerk, de Grote Stadskerk van de Hernhutters, d...;Q107435480;41;Paramaribo (stad);Paramaribo (stad);
NG-2022-1-3-3;Gezicht op de Heerenstraat te Paramaribo;title;Heerenstraat;Heerenstraat;Gezicht op de Heerenstraat te Paramaribo;Q107435472;58;Heerenstraat (Paramaribo);Heerenstraat (Paramaribo);
NG-2022-1-3-5;Gezicht op een begrafenisstoet in vermoedelijk de Heerenstraat te Paramaribo;title;Heerenstraat;Heerenstraat;Gezicht op een begrafenisstoet in vermoedelijk de Heerenstraat te Paramaribo;Q107435472;58;Heerenstraat (Paramaribo);Heerenstraat (Paramaribo);
NG-2022-1-3-6;Gezicht op de Keizerstraat te Paramaribo;title;Nieuwe Keizerstraat;Keizerstraat;Gezicht op de Keizerstraat te Paramaribo;;52;Keizerstraat;Keizerstraat;
NG-2022-1-3-10;Gezicht op de Heerenstraat te Paramaribo;title;Heerenstraat;Heerenstraat;Gezicht op de Heerenstraat te Paramaribo;Q107435472;58;Heerenstraat (Paramaribo);Heerenstraat (Paramaribo);
NG-2022-31-32;Gezicht op begraafplaats Nieuwe Oranjetuin, buiten Paramaribo;title;Oranjetuin;Oranjetuin;Gezicht op begraafplaats Nieuwe Oranjetuin, buiten Paramaribo | Vue du Cimetière d'Orange à Paramaribo...;;56;Nieuwe Oranjetuin (begraafplaats);Nieuwe Oranjetuin (begraafplaats);
NG-2022-1-11-5;Gezicht op de Heerenstraat in Paramaribo, Suriname;title;Heerenstraat;Heerenstraat;Gezicht op de Heerenstraat in Paramaribo, Suriname;Q107435472;58;Heerenstraat (Paramaribo);Heerenstraat (Paramaribo);
NG-2025-20-2;Gouvernementsplein in Paramaribo;title;Gouvernementsplein;Gouvernementsplein;Gouvernementsplein in Paramaribo | De Gouvernements bureaux;;64;Hof van Justitie | Administratie van Financiën | Huis Du Plessis;Hof van Justitie | Administratie van Financiën | Huis Du Plessis;
NG-2025-20-3;Woonhuizen aan het Gouvernementsplein in Paramaribo;description;Waterkant;Waterkant;...uizen aan het Gouvernementsplein, gezien vanaf het hoekhuis Waterkant 1 (links) tot de verlengde Herenstraat. Deze foto maakt dee...;Q2512080;35;Gouvernementsplein;Gouvernementsplein;
NG-2025-20-3;Woonhuizen aan het Gouvernementsplein in Paramaribo;description;Heerenstraat;Herenstraat;...ien vanaf het hoekhuis Waterkant 1 (links) tot de verlengde Herenstraat. Deze foto maakt deel uit van een album.;Q107435472;31;Gouvernementsplein;Gouvernementsplein;
NG-2025-20-9;Gezicht op de Keizerstraat in Paramaribo;title;Nieuwe Keizerstraat;Keizerstraat;Gezicht op de Keizerstraat in Paramaribo | De Keizerstraat;;52;Keizerstraat;Keizerstraat;
NG-2025-20-13;Grote Stadskerk in Paramaribo;description;Steenbakkerijstraat;Steenbakkerijstraat;...rk van de Evangelische Broedergemeente (Hernhutters) aan de Steenbakkerijstraat in Paramaribo. Deze foto maakt deel uit van een album.;Q107435476;45;Grote Stadskerk;Grote Stadskerk;
NG-2025-20-17;Begraafplaats de Nieuwe Oranjetuin in Paramaribo;title;Oranjetuin;Oranjetuin;Begraafplaats de Nieuwe Oranjetuin in Paramaribo | Het Kerkhof;;56;Nieuwe Oranjetuin (begraafplaats);Nieuwe Oranjetuin (begraafplaats);
NG-2022-31-39;Voorstellingen in Zuid-Amerika;description;Kerkplein;Kerkplein;...rstellingen in Zuid-Amerika. In het midden een markt op het Kerkplein in Paramaribo. Rondom (met de klok mee): interieur van een...;;35;Paramaribo (stad) | Saint-Pierre (Martinique) | Havana | Cuba;Paramaribo (stad) | Saint-Pierre (Martinique) | Havana | Cuba;
