recordnummer;objectnummer;titel;beschrijving;vervaardiger;datering.datum.start;datering.datum.eind;objectnaam;materiaal;classificatiecode;inhoud.classificatie.code;geografisch_trefwoord;inhoud.hoofdmotief.algemeen;inhoud.hoofdmotief.specifiek;inhoud.onderwerp;inhoud.persoon.naam;PID_data.URI;PID_werk.URI
7462;SK-A-1671;Cornelis van Aerssen (1637-88), heer van Sommelsdijk. Sedert 1683 gouverneur van Suriname;Portret van Cornelis van Aerssen (1637-88), heer van Sommelsdijk. Sedert 1683 gouverneur van Suriname. Heupstuk, staande in wapenrusting naar links. Links een gepluimde helm. Commandostaf in de rechterhand, de linkerhand in de zij. Linksboven het familiewapen op een zuil.;anoniem;1680;1680;schilderij;doek$olieverf;"";61B2$44B241;Suriname (Zuid-Amerika);portret$overzeese geschiedenis;"";"";Aerssen jr., Cornelis van;https://data.rijksmuseum.nl/20027399;https://id.rijksmuseum.nl/20027399
7886;SK-A-2630;Portret van een man;Portret van een onbekende man. Buste, in profiel naar rechts. Onderdeel van de collectie pastels.;Anspach, Johan;1802-05-14;1802-05-14;pastel$tekening;perkament;"";61B1;Suriname (Zuid-Amerika);"";"";"";"";https://data.rijksmuseum.nl/200109063;https://id.rijksmuseum.nl/200109063
7890;SK-A-2634;Portret van een vrouw;Silhouet portret van een Surinaamse vrouw. Buste, naar rechts. Met prominente boezem en hoge hoed met strikken. Onderdeel van de collectie portretminiaturen.;anoniem;1790;1790;miniatuur (schildering);perkament$metaal$glas;"";61BB1;Suriname (Zuid-Amerika);"";"";"";"";https://data.rijksmuseum.nl/20027589;https://id.rijksmuseum.nl/20027589
7891;SK-A-2635;Portret van een Surinaams meisje;Portret van een Surinaams meisje. Buste, naar rechts, aanziend. Onderdeel van de collectie portretminiaturen.;anoniem$anoniem;1810;1810;miniatuur (schildering);ivoor$goud$email$parel$haar;"";61BB2;Suriname (Zuid-Amerika);"";"";"";"";https://data.rijksmuseum.nl/200105905;https://id.rijksmuseum.nl/200105905
7893;SK-A-2637;Portret van een Surinaams meisje;Portret van een Surinaams meisje. Buste, naar links, de beschouwer aanziend. Onderdeel van de collectie portretminiaturen.;anoniem;1805;1805;miniatuur (schildering);ivoor$verf$hout$metaal$verguldsel;"";61BB2;Suriname (Zuid-Amerika);"";"";"";"";https://data.rijksmuseum.nl/200105901;https://id.rijksmuseum.nl/200105901
7897;SK-A-2641;Portret van Surinaams meisje;Portret van een Surinaamse vrouw. Buste naar links, de beschouwer aanziend, met een grote hoofddoek. Onderdeel van de collectie portretminiaturen.;anoniem;1805;1805;miniatuur (schildering);ivoor$verf$hout$verguldsel$metaal;"";61BB2;Suriname (Zuid-Amerika);"";"";"";"";https://data.rijksmuseum.nl/200105903;https://id.rijksmuseum.nl/200105903
8933;SK-A-2252;Johan François Adriaan Cateau van Rosevelt (1823-91). Chef van het Bouwdepartement en Agent-generaal van de Immigratie in Suriname;Portret van Johan François Adriaan Cateau van Rosevelt. Chef van het Bouwdepartement en Agent-generaal van de Immigratie in Suriname. Kniestuk, zittend in een stoel, op de borst meerdere decoraties, in de rechterhand een landkaart van Suriname. Vervaardigd ter gelegenheid van zijn vijftigjarige ambtsjubileum in 1885.;Lovera;1885;1885;schilderij;doek$olieverf;"";61B2;Suriname (Zuid-Amerika);portret$overzeese geschiedenis$immigranten$ambtsjubileum;"";"";Rosevelt, Johan François Adriaan Cateau van;https://data.rijksmuseum.nl/20028215;https://id.rijksmuseum.nl/20028215
10084;SK-A-4060;Portret van Joan Jacob Mauricius, gouverneur van Suriname, dichter en toneelminnaar$Portret van Joan Jacob Mauricius, gouverneur-generaal van Suriname, dichter en toneelminnaar;Portret van Joan Jacob Mauricius (1692-1768). Gouverneur van Suriname, dichter en toneelminnaar. Ten voeten uit, zittend aan een tafel. In de linkerhand een blad papier. Op tafel bedekt met een Perzisch kleed staan twee Chinese figuren op een lakkistje, een porseleinen haan, enkele schelpen en een getekend zelfportret van Cornelis Troost. Tegen de achterwand een boekenkast met toneelwerken en een schilderij met een voorstelling van de liefdesverklaring van Reinier Adriaansz uit het toneelstuk 'Jan Claesz of de gewaande Dienstmaagt' van Thomas Asselijn. Op de vloer staat een globe. Onderdeel van de collectie pastels.;Troost, Cornelis;1741;1741;pastel$tekening;papier;"";61B2$41A712;Suriname (Zuid-Amerika);overzeese geschiedenis$politieke geschiedenis$cultuurgeschiedenis;"";"";Mauricius, Joan Jacob;https://data.rijksmuseum.nl/200110494;https://id.rijksmuseum.nl/200110494
10090;SK-A-4075;Surinaams landschap met een plantage van Jonas Witsen$Plantage in Suriname;Dit werk stelt een van de vele suikerplantages langs de Surinamerivier voor, mogelijk Palmeneribo. Het werd gemaakt in opdracht van Jonas Witsen, sinds 1702 de eigenaar van de plantage en de slavenhouder in Amsterdam. Tussen de awarapalmen is op de achtergrond het bakstenen woonhuis dat bij de plantage hoort zichtbaar.Op de voorgrond zien we enkele Lokono, een van de oorspronkelijke bevolkingsgroepen van dit gebied. Er is een woning gemaakt van palmbladeren, een man of vrouw in een hangmat en geheel links een vierkante omheining, waarschijnlijk gemaakt van suikerrietstengels. De daadwerkelijke plantage en de vele mensen die daar in slavernij werkten ontbreken. Jonas Witsen erfde in 1702 van zijn vrouw Sara Scharphuijzen de plantages Waterland, Surimombo en Palmeneribo. Om zijn bezit in kaart te brengen stuurde hij de schilder Dirk Valkenburg naar Suriname.$Een plantage in Suriname met links en rechts groepen palmen. In het midden enkele mensen bij een woning van palmbladeren, in de verte de gebouwen van de plantage.$Een plantage in Suriname met links en rechts groepen palmen. In het midden een inlandse hut met enkele inlanders, in de verte de gebouwen van de plantage.;Valkenburg, Dirk;1707;1707;schilderij;doek$olieverf;"";25K182$25G3(PALM-TREE)$32B344;Suriname (Zuid-Amerika);oorspronkelijke bewoners van Zuid-Amerika$economische geschiedenis$plantage;"";"";Witsen, Jonas$West-Indische Compagnie;https://data.rijksmuseum.nl/20015028;https://id.rijksmuseum.nl/20015028
10129;SK-A-4153;Daniel Francis Schas (1772-1848). Van 1814 tot 1820 lid van de Raad van de koophandel en koloniën;Portret van Daniel Francis Schas, van 1814 tot 1820 lid van de Raad van de Koophandel en Koloniën. Ten halven lijve met grijze jas en witte das. Pendant van SK-A-4154.;Dubois Drahonet, Alexandre Jean;1826;1826;schilderij;doek$olieverf;"";"";Suriname (Zuid-Amerika);portret$overzeese geschiedenis$economische geschiedenis;"";"";Schas, Daniel Francis;https://data.rijksmuseum.nl/20028763;https://id.rijksmuseum.nl/20028763
10374;SK-A-4481;De begrafenis van pastoor Joannes Vitus Janssen (1803-43) in Paramaribo;De begrafenis van pastoor Joannes Vitus Janssen (1803-43) op het oude kerkhof aan de Rust en Vredestraat te Paramaribo. De aankomst van de begrafenisstoet bij de ingang naar het kerkhof. Op de voorgrond staan toeschouwers, rechts enkele  rijtuigen.;anoniem;1843;1845;schilderij;doek$olieverf;"";43A49$42E22;Paramaribo (stad);historiestuk$overzeese geschiedenis$religieuze geschiedenis$begrafenis;"";"";Janssen, Joannes Vitus$Donders, Petrus$Kempkes, Th.$Grooff, Jacobus$West-Indische Compagnie;https://data.rijksmuseum.nl/2002929;https://id.rijksmuseum.nl/2002929
12038;SK-A-4087;Gezicht op de koffieplantage Marienbosch in Suriname$Gezicht op de koffieplantage 'Meerzorg' aan het Taparoepikanaal in Suriname?;Gezicht op de koffieplantage Marienbosch aan de Commewijnerivier. Tussen twee groepen palmbomen en een waterwerk (loossluis) liggen aan de overzijde van een kanaal verschillende houten plantagegebouwen. Op een stenen vloer tussen de gebouwen verspreiden tot slaaf gemaakte mensen van Afrikaanse oorsprong koffiebonen zodat deze in de zon kunnen drogen. Naast koffie werd er ook katoen en cacao op Marienbosch verbouwd. Op het kanaal vaart een korjaal, een kleine vrachtboot. Op het pad langs het kanaal loopt een tot slaafgemaakte vrouw met kind en een man met hoed en wandelstok. Volgens het opschrift rechtsonder is het schilderij vervaardigd naar een tekening van A.L. Brockmann.$Gezicht op de koffieplantage Marienbosch aan de Commewijnerivier. Tussen twee groepen palmbomen en een waterwerk (loossluis) liggen aan de overzijde van een kanaal verschillende houten plantagegebouwen. Op een stenen vloer tussen de gebouwen verspreiden slaven koffiebonen zodat deze in de zon kunnen drogen. Naast koffie werd er ook katoen en cacao op Marienbosch verbouwd. Op het kanaal vaart een klein vrachtbootje. Op het pad langs het kanaal loopt een tot slaafgemaakte vrouw met kind en een man met hoed en wandelstok. Volgens het opschrift rechtsonder is het schilderij vervaardigd naar een tekening van A.L. Brockmann.$Gezicht op een koffieplantage in de tropen, wellicht 'Meerzorg' aan het Taparoepikanaal in Suriname? Op de voorgrond twee groepjes palmbomen, rechts een dijk met een scheprad. Links een kanaal met een bootje. Volgens het signatuur vervaardigd naar een tekening van A.L. Brockmann.;Klerk, Willem de$Brockmann, Alexander Ludwich;1829;1876;schilderij;doek$olieverf;"";41C721$25K182$46A18;Suriname (Zuid-Amerika)$Plantage Mariënbosch$Plantage Meerzorg;economische geschiedenis$overzeese geschiedenis$plantage$koffiehandel$slavernij;"";"";"";https://data.rijksmuseum.nl/200111810;https://id.rijksmuseum.nl/200111810
27541;RP-P-1992-358;Voor het volkskind - Suriname;"Een donker kind, op de rug gezien, wordt opgetild door twee handen. In een omlijsting van bladeren. Boven zijn hoofd de tekst 'VOOR HET VOLKSKIND' Onder de voorstelling 'SURINAME'; RECHTSONDER HET GETAL 10 Ontwerp voor een postzegel.";Dobbenburgh, Aart van$Dobbenburgh, Aart van;1936;1936;prent$ontwerp;chine collé;"";41C714$32B344;Suriname (Zuid-Amerika);"";"";"";"";https://data.rijksmuseum.nl/200117193;https://id.rijksmuseum.nl/200117193
47109;RP-P-1950-280;Portret van Johan Raye van Breukelerwaard;Johan Raye van Breukelerwaard in harnas. Hij was van 1735 tot 1737 gouverneur-generaal van Suriname.;Vilsteren, Johannes van;1740;1740;prent;papier;"";45C22;"";"";"";"";Raye van Breukelerwaard, Johan;https://data.rijksmuseum.nl/200135914;https://id.rijksmuseum.nl/200135914
47110;RP-P-1910-1539;Portret van Johan Raye van Breukelerwaard;Johan Raye van Breukelerwaard in harnas. Hij was van 1735 tot 1737 gouverneur-generaal van Suriname.;Vilsteren, Johannes van$Vilsteren, Johannes van;1740;1740;prent;papier;"";45C22;"";"";"";"";Raye van Breukelerwaard, Johan;https://data.rijksmuseum.nl/200135915;https://id.rijksmuseum.nl/200135915
60931;RP-T-1905-103;Gezicht op de molen en het kookhuis van plantage Waterland in Suriname$Gezicht op molen en kookhuis op een plantage te Suriname$Gezichten op de plantages Surimonbo en Palmeniribo;‘Dit Gesigt is te Sien op Waterkant als men staat voor de Keuken’ schreef Dirk Valkenburg voor zijn opdrachtgever Jonas Witsen onder zijn tekening van de molen en het kookhuis op de suikerplantage Waterland. De suikermolen van de plantage werd aangedreven door waterkracht, opgewekt door het getijdeverschil van de nabijgelegen Surinamerivier. Het kleinere huis rechts van het kookhuis is het dramhuis. Hier werd het schuim dat bij het koken van het suikerriet kwam bovendrijven gedestilleerd tot sterke drank (dram). Geheel rechts is een woning van de tot slaafgemaakte mensen op de plantage te zien.$Gezicht op molen en kookhuis op een plantage van Jonas Witsen te Suriname. Met verklarende tekst linksboven.;Valkenburg, Dirk;1708;1708;tekening;papier$inkt$potlood;"";25K182$41A16;Suriname (Zuid-Amerika);overzeese geschiedenis$economische geschiedenis$plantage;"";"";Witsen, Jonas;https://data.rijksmuseum.nl/20015032;https://id.rijksmuseum.nl/20015032
60932;RP-T-1905-104;Gezicht op het woonhuis en een schuur op plantage Surimombo in Suriname$Gezicht op de plantage Surimonbo te Suriname$Gezichten op de plantages Surimonbo en Palmeniribo;Gezicht op een schuur of timmerwerkplaats op plantage Surimombo. Links in beeld is nog net een klein stuk van het woonhuis op de plantage zichtbaar.$Gezicht op de plantage Surimonbo van Jonas Witzen te Suriname.;Valkenburg, Dirk;1708;1708;tekening;papier$inkt$potlood;"";25K182$41A171;Plantage Surimombo$Suriname (Zuid-Amerika);overzeese geschiedenis$economische geschiedenis$plantage;"";"";Witsen, Jonas;https://data.rijksmuseum.nl/20015035;https://id.rijksmuseum.nl/20015035
60934;RP-T-1905-105;Gezicht op drie gebouwen op plantage Surimombo in Suriname$Gezicht op drie huizen op de plantage Surimonbo te Suriname$Gezichten op de plantages Surimonbo en Palmeniribo;Van links naar rechts zien we het kookhuis, de suikermolen en het dramhuis van de suikerplantage Surimombo. Met nummer 4 de 'kaentras Bergh' wordt verwezen naar de plekken waar de afgekapte bladeren van het suikerriet op een hoop werden gegooid.$Gezicht op de drie huizen op de plantage Surimonbo van Jonas Witzen te Suriname. Met uitleg linksboven.;Valkenburg, Dirk;1708;1708;tekening;papier$inkt$krijt;"";25K182$41A16;Plantage Surimombo$Suriname (Zuid-Amerika);economische geschiedenis$overzeese geschiedenis$plantage;"";"";Witsen, Jonas;https://data.rijksmuseum.nl/20015034;https://id.rijksmuseum.nl/20015034
60935;RP-T-1905-106;Sluis op de plantage Palmeneribo in Suriname$Sluis op de plantage Palmeniribo te Suriname$Een Sluijs op Palmeniribo$Gezichten op de plantages Surimonbo en Palmeniribo;Plantage Palmeneribo was gelegen aan de Surinamerivier. Voor de waterhuishouding op de plantage waren de sluizen van groot belang.;Valkenburg, Dirk;1708;1708;tekening;papier$inkt$krijt;"";25H223$25K182;Suriname (Zuid-Amerika)$Plantage Palmeneribo;overzeese geschiedenis$economische geschiedenis$plantage;"";"";Witsen, Jonas;https://data.rijksmuseum.nl/20015036;https://id.rijksmuseum.nl/20015036
60937;RP-T-1905-107;Gezicht op suikerplantage Palmeneribo in Suriname$Rij huizen op de plantage Palmeniribo te Suriname$Gezichten op de plantages Surimonbo en Palmeniribo;Gezicht op het woonhuis, een magazijn en het gebouw van de smid op plantage Palmeneribo. Het woonhuis op de plantage was geheel gebouwd van baksteen, wat uitzonderlijk kostbaar was omdat de stenen uit Europa moesten worden aangevoerd. De kleine ramen en zware muurankers geven het woonhuis het karakter van een fort. Tegen de gevel zijn horizontale duivenhokken bevestigd. Valkenburg heeft twee maal het cijfer 9 in zijn tekening opgenomen. In de legenda linksboven verwijst dit cijfer naar de put. Links een rij met diverse fruitbomen: sinaasappel, lemmetjes (limoen) en pompelmoes.$Een rij huizen op de plantage Palmeniribo van Jonas Witzen te Suriname. Met verklarende tekst bovenaan.;Valkenburg, Dirk;1708;1708;tekening;papier$inkt$krijt;"";25K182$41A16;Suriname (Zuid-Amerika)$Plantage Palmeneribo;overzeese geschiedenis$economische geschiedenis$plantage;"";"";Witsen, Jonas;https://data.rijksmuseum.nl/20015031;https://id.rijksmuseum.nl/20015031
60938;RP-T-1905-108;Gezicht op suikerplantage Surimombo in Suriname$Woonhuis en een schuur op de plantage Surimonbo te Suriname$Gezichten op de plantages Surimonbo en Palmeniribo;Gezicht op het woonhuis en een stal op plantage Surimombo. Naast de stal is een afgeschermd stuk grond voor de koeien te zien, door Valkenburg met nummer 3 als koe pen aangeduid. Tegen de gevel van het houten woondhuis zijn op diverse plekken duivenhokken aangebracht. Rechts naast het huis heeft Valkenburg mogelijk zichzelf getekend, of een van de andere Europeanen aanwezig op de plantage.$Een woonhuis en een schuur op de plantage Surimonbo van Jonas Witzen te Suriname. Met verklarende tekst linksboven.;Valkenburg, Dirk;1708;1708;tekening;papier$inkt$krijt;"";25K182$41A16;Plantage Surimombo$Suriname (Zuid-Amerika);overzeese geschiedenis$economische geschiedenis$plantage;"";"";Witsen, Jonas;https://data.rijksmuseum.nl/20015033;https://id.rijksmuseum.nl/20015033
62052;NG-VG-1-2604;"Overlijden van Theodorus Knöffel, stichter van de plantage Elisabeths Hoop in Suriname; penning geslagen op last van zijn broer P.L. Knöffel";"Zilveren penning. Voorzijde: gezicht op plantage Elisabeths Hoop aan de Commewijnerivier, die door een aantal tot slaaf gemaakte mensen wordt bewerkt; op achtergrond koopvaardijschip en een zinkend schip op de achtergrond, binnen omschrift. Keerzijde: opschrift onder versierde lijkbus.$Zilveren penning. Voorzijde: gezicht op plantage Elisabeths Hoop aan de Commewijnerivier, die door een aantal tot slaaf gemaakte mensen wordt bewerkt; op achtergrond koopvaardijschip binnen omschrift. Keerzijde: opschrift onder versierde lijkbus.$Zilveren penning. Voorzijde: gezicht op plantage Elisabeth's Hoop aan de Commewijnerivier, die door een aantal slaven wordt bewerkt; op achtergrond koopvaardijschip binnen omschrift. Keerzijde: opschrift onder versierde lijkbus.";Ernst, Tobias;1758;1758;familiepenning$overlijdenspenning;zilver;"";46A18;Commewijne$Plantage Elisabethshoop;overzeese geschiedenis$economische geschiedenis$plantage$slavernij;"";"";Knöffel, Theodorus$Knöffel, P.L.;https://data.rijksmuseum.nl/20042565;https://id.rijksmuseum.nl/20042565
63478;NG-VG-1-3990;Matroos P.C. Bakker, wegens het redden van een drenkeling uit de Suriname-rivier, ter ere van Willem III, koning der Nederlanden;Zilveren penning. Voorzijde: borststuk man binnen omschrift. Keerzijde: opschrift binnen myrtekrans;Kellen, David van der (1804-1879);1849;1849;erepenning;zilver;"";"";Surinamerivier;scheepvaart$sociale zorg$redding van drenkeling;"";"";Willem III (koning der Nederlanden)$Bakker, P.C.;https://data.rijksmuseum.nl/20043939;https://id.rijksmuseum.nl/20043939
66241;NG-NM-8969;Erepenning voor George, een tot slaaf gemaakte man op de plantage Leasowes$Erepenning voor George, slaaf van de plantage Leasowes;Zilveren penning aan draagoog en draagring. Voorzijde: opschrift. Keerzijde: wapenschild met opschrift, geflankeerd door twee mannen met verentooi, pijlenkoker en boog, staande voor vat en baal binnen omschrift. In 1836 brak in het Surinaamse district Nickerie een opstand uit. George, die op plantage Leasowes werkte, voorzag het koloniale bewind van informatie waarna een aantal tot slaafgemaakten werd gearresteerd. Hij kreeg deze penning als beloning.;anoniem;1837;1837;erepenning;zilver;"";46A18;Nickerie$Coronie$Plantage Leasowes;overzeese geschiedenis$sociale geschiedenis$economische geschiedenis$plantage$sociale onrust$slavenopstand$slavernij;"";"";George (slaafgemaakte);https://data.rijksmuseum.nl/200147299;https://id.rijksmuseum.nl/200147299
109316;RP-P-1938-1112;Surinamers en Hollanders drinken thee;Drie Surinaamse mannen zitten aan tafel met drie Hollanders, zij roken een pijp en drinken thee. Om hen heen staan nog vijf Surinamers.;Felix, Abraham Pieter$Trap, Pieter Willem Marinus$Ablaing van Giessenburg, Rudolf Carel d';1856;1856;prent$boekillustratie;papier;"";46C223;"";"";"";"";"";https://data.rijksmuseum.nl/200189292;https://id.rijksmuseum.nl/200189292
121929;RP-P-1909-1779;Gezicht op Post Gelderland en Joden Savannah$Gezigten uit Neerland's West-Indien;Op de rivier liggen twee roeiboten met drijvers met daarin vier figuren. Op de oever verschillende gebouwen.;Heemskerck van Beest, jonkheer Jacob Eduard van$Voorduin, Gerard$Steendrukkerij de Industrie$Buffa en Zonen, Frans;1860;1862;prent;papier;"";25H213;Suriname (Zuid-Amerika);"";"";"";"";https://data.rijksmuseum.nl/200201801;https://id.rijksmuseum.nl/200201801
121930;RP-P-1911-322;Gezicht op de waterkant en reede van Paramaribo$Gezigten uit Neerland's West-Indien;Op de rivier varen verschillende boten waaronder enkele roeiboten. Vooraan vaart een pondo met een rieten dak waarmee vaten worden vervoerd. Daarachter een Curaçaose schoener met de Nederlandse vlag. Op de kade gebouwen zoals de Waag met een rood dak. Onder de afbeelding, ter hoogte van hun plaats op de kade, zijn straatnamen weergegeven.$;Heemskerck van Beest, jonkheer Jacob Eduard van$Voorduin, Gerard$Steendrukkerij de Industrie$Buffa en Zonen, Frans;1860;1862;prent;papier;"";25H213;Suriname (Zuid-Amerika);"";"";"";"";https://data.rijksmuseum.nl/200201802;https://id.rijksmuseum.nl/200201802
121931;RP-P-1911-321;Gouvernementshuis en plein te Paramaribo$Gezigten uit Neerland's West-Indien;Op de rivier varen verschillende roeiboten. Op de kade palmbomen en gebouwen waaronder een kerk. Daartussen een gehesen Nederlandse vlag.;Heemskerck van Beest, jonkheer Jacob Eduard van$Voorduin, Gerard$Steendrukkerij de Industrie$Buffa en Zonen, Frans;1860;1862;prent;papier;"";25H213$25I143;Paramaribo (stad);"";"";"";"";https://data.rijksmuseum.nl/200201803;https://id.rijksmuseum.nl/200201803
121934;RP-P-1909-1780;Gezicht op de synagoge en het kerkhof vanaf het Cordonpad gezien$Gezigten uit Neerland's West-Indien;Door het landschap loopt een smalle landweg. Links daarvan, achter palen, ligt een begraafplaats en een bakstenen synagoge.;Heemskerck van Beest, jonkheer Jacob Eduard van$Voorduin, Gerard$Steendrukkerij de Industrie$Buffa en Zonen, Frans;1860;1862;prent;papier;"";42E434$12A44;Suriname (Zuid-Amerika);"";"";"";"";https://data.rijksmuseum.nl/200201806;https://id.rijksmuseum.nl/200201806
137232;RP-P-1904-3844;Kankantri boom;"Boven genummerd: 58; pl. XXIX.";Lauters, Paulus$Benoit, Pierre Jacques$Société des Beaux-Arts;1839;1839;prent;papier;"";25G3(KAPOK)$25H1(+1);Suriname (Zuid-Amerika);"";"";"";"";https://data.rijksmuseum.nl/200217034;https://id.rijksmuseum.nl/200217034
182427;RP-P-OB-65.081;Portret van Joan Jacob Mauricius;Portret van Joan Jacob Mauricius, schepen en pensionaris van Purmerend en gouverneur van Suriname.;Tanjé, Pieter$Schouman, Aert;1753;1753;prent;papier;"";"";"";"";"";"";Mauricius, Joan Jacob;https://data.rijksmuseum.nl/200261658;https://id.rijksmuseum.nl/200261658
196391;RP-P-1911-313;Gezicht op Paramaribo;Gezicht op de stad Paramaribo vanaf zee. Op de voorgrond Nederlandse schepen. Links twee vissers in en bij een boot.;Wijsman, Jacobus;1790;1799;prent;papier;"";25I1$46C24;Paramaribo (stad);"";"";"";"";https://data.rijksmuseum.nl/200275531;https://id.rijksmuseum.nl/200275531
199115;RP-P-1931-1685;Oude huizen en water aan het Surinameplein te Amsterdam$Surinameplein;"";Valk, Maurits van der;1822;1931;prent;papier;"";41A14$25I144;Amsterdam;"";"";"";"";https://data.rijksmuseum.nl/200278191;https://id.rijksmuseum.nl/200278191
233061;NG-NM-140;Fort Leyden (Suriname)$Twee maquettes van het Fort Leyden;Reliëfmodel (plattegrond) van de 'redoute Leyde' te Suriname. Sommige delen kunnen worden afgenomen. Met opschrift in cartouche middenonder: PROJECT GEFORMEERT OP ORDRE VAN DE EDELE GROOT AGT BAARE HEEREN DIRECTEUREN DER GEOCTROIEERDE SOCIETEIT VAN SURINAME, TER VERSTERKING VAN DEN OOSTELYKEN OEVER DAAR DE RIVIER DE COMMOWYNE IN DE SURINAME VALT. DOOR DEN INGENIEUR LOTSY ALLES DAT GEMARQUEERT IS KAN AFGENOOMEN EN DE LOGEMENTEN MET DE DIKTE DER MUURWERKEN NAGESIEN WERDEN/SCHAAL VAN 15 ROEDEN/IN MODEL GEBRAGT DOOR J. TILLEMAN 1769;Lotsy, Hendrick$Tilleman, J.;1769;1769;reliëf$model;buxushout$eikenhout;"";45K13;Suriname (Zuid-Amerika)$Commewijne$Fort Leyden;overzeese geschiedenis;"";"";Geoctroyeerde Sociëteit van Suriname$West-Indische Compagnie;https://data.rijksmuseum.nl/200311398;https://id.rijksmuseum.nl/200311398
233063;NG-NM-141;Fort Leyden (Suriname)$Twee maquettes van het Fort Leyden;Reliëfmodel (plattegrond) van de 'redoute Leyde' te Suriname. Sommige delen kunnen worden afgenomen. Met opschrift in cartouche middenonder: PROJECT GEFORMEERT OP ORDRE VAN DE EDELE GROOT AGT BAARE HEEREN DIRECTEUREN DER GEOCTROIEERDE SOCIETEIT VAN SURINAME, TER VERSTERKING VAN DEN OOSTELYKEN OEVER DAAR DE RIVIER DE COMMOWYNE IN DE SURINAME VALT. DOOR DEN INGENIEUR LOTSY ALLES DAT GEMARQUEERT IS KAN AFGENOOMEN EN DE LOGEMENTEN MET DE DIKTE DER MUURWERKEN NAGESIEN WERDEN/SCHAAL VAN 15 ROEDEN/IN MODEL GEBRAGT DOOR J. TILLEMAN 1769.;Lotsy, Hendrick$Tilleman, J.;1769;1769;reliëf$model;buxushout$eikenhout;"";45K13;Suriname (Zuid-Amerika)$Commewijne$Fort Leyden;"";"";"";Geoctroyeerde Sociëteit van Suriname$West-Indische Compagnie;https://data.rijksmuseum.nl/200311399;https://id.rijksmuseum.nl/200311399
233438;RP-F-1994-12;Les Habitants de Suriname. Notes recueillies à l'Exposition Coloniale d'Amsterdam en 1883;Boek met 227 pagina's met diverse lithogravieën en 68 lichtdrukken naar negatieven van Friedrich Carel Hisgen, gemaakt op de Internationale Koloniale en Uitvoerhandel Tentoonstelling, Amsterdam 1883.;Hisgen, Friedrich Carel$Roche$Bonaparte, Roland Napoleon$Quantin, Albert;1884;1884;boek;karton$papier$marmerpapier$transparant papier$linnen;"";32B344$46B181$44B04$32B381;Suriname (Zuid-Amerika)$Amsterdam;personen van Afrikaanse oorsprong$oorspronkelijke bewoners van Suriname$Arowakken$Caraïben (volk)$Marrons$Ndyuka$Saramaccaners;"";Wereldtentoonstelling 1883 (Amsterdam);"";https://data.rijksmuseum.nl/200110005;https://id.rijksmuseum.nl/200110005
233578;RP-F-1994-16;Kolonie Suriname. Afbeeldingen betreffende cultuurgewassen, plantages, goudvelden, volkstypen enz.;Omslag met 23 lichtdrukken van Suriname naar negatieven toegeschreven aan Julius Muller.;Muller, Julius Eduard$anoniem$Heide, A.E. v.d.$H. Kleinmann & Co;1896;1896;omslag;papier$karton$inkt;"";44B04$25K182$41C723;Suriname (Zuid-Amerika);"";"";"";"";https://data.rijksmuseum.nl/200311761;https://id.rijksmuseum.nl/200311761
234445;RP-T-1895-A-3085;Gezicht op Paramaribo$Gezigt van Paramaribo in de Colonie van Surinamen, verbeeldende het gedeelte langs de Rivier en het Plein.;"";Kaldenbach, Johan Antonie$Hottinger, Johan Heinrich;1770;1818;tekening$aquarel;papier$inkt$waterverf$potlood;"";25I12;Paramaribo (stad);"";"";"";"";https://data.rijksmuseum.nl/200312376;https://id.rijksmuseum.nl/200312376
234838;RP-T-1971-82;Rivierlandschap met op de voorgrond een hoen;Rivier met bootjes. Links bomen en op de achtergrond bergen. Op de voorgrond een marailsjakohoen (Penelope marail), Suriname.;Schouman, Aert;1720;1792;tekening$aquarel;papier$waterverf;"";25F3$25H213;Suriname (Zuid-Amerika);marailsjakohoen;"";"";"";https://data.rijksmuseum.nl/200312753;https://id.rijksmuseum.nl/200312753
241091;RP-T-00-1849;Wapen van de Geoctrooide Sociëteit van Suriname;Ontwerptekening met het wapen van de Geoctrooide Sociëteit van Suriname. Ontwerp voor een prent.;Picart, Bernard;1720;1720;tekening$ontwerp;papier$inkt;"";44A1(+2);Suriname (Zuid-Amerika);"";"";"";Geoctroyeerde Sociëteit van Suriname;https://data.rijksmuseum.nl/200313689;https://id.rijksmuseum.nl/200313689
241168;RP-F-1994-12-1;Groepsportret van Surinaamse Arowakken en Caraïben, en een Europese man, op de Koloniale Tentoonstelling, Amsterdam 1883$Groepsportret van Surinamers ('Aborigines')$No 1. Aborigines of vroegste Bewoners van Suriname, bestaande uit Arowaken en Caraïben Indianen.;Groepsportret van Arowakken en Caraïben op de Internationale Koloniale en Uitvoerhandel Tentoonstelling, Amsterdam 1883. Opvallend is dat ze extra zijn aangekleed met onder andere veren hoofdtooien, waarschijnlijk om ze er als stereotype indianen uit te laten zien.$;Hisgen, Friedrich Carel$Roche$Bonaparte, Roland Napoleon;1883;1884;fotomechanische afdruk$bladzijde;papier;"";61B113$32B344$46B181;Amsterdam;oorspronkelijke bewoners van Zuid-Amerika$Arowakken$Caraïben (volk);"";Wereldtentoonstelling 1883 (Amsterdam);"";https://data.rijksmuseum.nl/200313749;https://id.rijksmuseum.nl/200313749
