recordnummer;objectnummer;titel;beschrijving;vervaardiger;datering.datum.start;datering.datum.eind;objectnaam;materiaal;classificatiecode;inhoud.classificatie.code;geografisch_trefwoord;inhoud.hoofdmotief.algemeen;inhoud.hoofdmotief.specifiek;inhoud.onderwerp;inhoud.persoon.naam;PID_data.URI;PID_werk.URI
479186;NG-2009-132-44;Stroomversnelling in een kreek;Stroomversnelling in de kreek Gégé. Onderdeel van een groep objecten afkomstig van de familie Wesenhagen in Suriname.;Wesenhagen, Jacob Evert;1905;1910;foto;fotodrager;"";25K1;Suriname (Zuid-Amerika);overzeese geschiedenis$economische geschiedenis;"";"";"";https://data.rijksmuseum.nl/200515176;https://id.rijksmuseum.nl/200515176
479187;NG-2009-132-45;Post Republiek - Suriname;Een aantal huizen in Post Republiek, links de dienstwoning van geneesheer Jacob Evert Wesenhagen. Onderdeel van een groep objecten afkomstig van de familie Wesenhagen in Suriname.;Wesenhagen, Jacob Evert;1905;1910;foto;fotodrager$karton;"";25K1;Suriname (Zuid-Amerika)$Republiek (Suriname);overzeese geschiedenis$economische geschiedenis$spoorweg;"";"";Wesenhagen, Jacob Evert;https://data.rijksmuseum.nl/200515177;https://id.rijksmuseum.nl/200515177
479188;NG-2009-132-46(R);Post Republiek, Suriname;Een aantal huizen in Post Republiek, links de dienstwoning van geneesheer Jacob Evert Wesenhagen. Onderdeel van een groep objecten afkomstig van de familie Wesenhagen in Suriname.;Wesenhagen, Jacob Evert;1905;1910;foto;fotodrager$karton;"";25K1;Suriname (Zuid-Amerika)$Republiek (Suriname);overzeese geschiedenis$economische geschiedenis$spoorweg;"";"";Wesenhagen, Jacob Evert;https://data.rijksmuseum.nl/200515178;https://id.rijksmuseum.nl/200515178
479190;NG-2009-132-46(V);Wilhelm en Frieda Wesenhagen op de veranda;Twee kinderen op een veranda van de dienstwoning van hun vader, geneesheer Jacob Evert Wesenhagen, in Post Republiek, Suriname. Onderdeel van een groep objecten afkomstig van de familie Wesenhagen in Suriname.;Wesenhagen, Jacob Evert;1905;1910;foto;fotodrager$karton;"";41A161;Suriname (Zuid-Amerika)$Republiek (Suriname);overzeese geschiedenis$economische geschiedenis$spoorweg;"";"";Wesenhagen, Jacob Evert$Wesenhagen, Frieda Maria$Wesenhagen, Wilhelm Martin;https://data.rijksmuseum.nl/200515180;https://id.rijksmuseum.nl/200515180
479191;NG-2009-132-47;Rivier met boot, Suriname;Een boot op een rivier. Onderdeel van een groep objecten afkomstig van de familie Wesenhagen in Suriname.;Wesenhagen, Jacob Evert;1905;1910;foto;fotodrager;"";25K1;Suriname (Zuid-Amerika);overzeese geschiedenis$economische geschiedenis$vervoer over water;"";"";Wesenhagen, Jacob Evert;https://data.rijksmuseum.nl/200515181;https://id.rijksmuseum.nl/200515181
479192;NG-2009-133-2;Spooraanleg - Kamp Lemmetje. km 162;Het tracé voor de nieuwe spoorbaan bij kamp Lemmetje op km 162. In het kamp de opzichterswoning, hospitaal en arbeiderskamp. Tijdens de aanleg van de Lawaspoorweg in Suriname in de jaren 1903-1912. Onderdeel van een groep objecten afkomstig van de familie Wesenhagen in Suriname.;Wesenhagen, Jacob Evert;1905;1910;foto$prentbriefkaart;papier;"";"";Suriname (Zuid-Amerika);overzeese geschiedenis$economische geschiedenis$spoorweg;"";"";Wesenhagen, Jacob Evert;https://data.rijksmuseum.nl/200515182;https://id.rijksmuseum.nl/200515182
479193;NG-2009-133-3;Kabelbrug over de Surinamerivier;Gezicht op de kabelbrug over de Surinamerivier, bij km 133.6. Bij de aanleg van de Lawaspoorweg in Suriname in de jaren 1903-1912. Onderdeel van een groep objecten afkomstig van de familie Wesenhagen in Suriname.;Wesenhagen, Jacob Evert;1905;1910;foto$prentbriefkaart;papier;"";"";Suriname (Zuid-Amerika)$Surinamerivier;overzeese geschiedenis$economische geschiedenis$verkeer en vervoer;"";"";Wesenhagen, Jacob Evert;https://data.rijksmuseum.nl/200515183;https://id.rijksmuseum.nl/200515183
479194;NG-2009-133-4;Groeten uit Coronie;Prentbriefkaart met reproducties van diverse gebouwen in Coronie: Friendschip, woning van de Districts Commissaris, de woningen van de politie, districts geneesheer en districts klerk, Hernhutterskerk - Totness , R.C. Statie - Mary's Hope. Onderdeel van een groep objecten afkomstig van de familie Wesenhagen in Suriname.;Wesenhagen, Jacob Evert$Heyde, Heinrich Bernhard;1905;1910;prentbriefkaart;papier;"";"";Coronie;overzeese geschiedenis;"";"";Wesenhagen, Jacob Evert;https://data.rijksmuseum.nl/200515184;https://id.rijksmuseum.nl/200515184
479196;NG-2009-133-5;Sikakamp bij de aanleg van de spoorlijn;Muskietenvrije woning van de geneesheer Wesenhagen in het Sikakamp bij de aanleg van de nieuwe spoorbaan bij Sikakamp, op 158 kilometer van Paramaribo. Foto over de aanleg van de Lawaspoorweg in Suriname in de jaren 1903-1912. Onderdeel van een groep objecten afkomstig van de familie Wesenhagen in Suriname.;Wesenhagen, Jacob Evert;1905;1910;foto$prentbriefkaart;papier;"";"";Suriname (Zuid-Amerika);overzeese geschiedenis$economische geschiedenis$spoorweg;"";"";Wesenhagen, Jacob Evert;https://data.rijksmuseum.nl/200515186;https://id.rijksmuseum.nl/200515186
479197;NG-2009-133-6;Woning van Jacob Evert Wesenhagen te Coronie, Suriname;Woning van Jacob Evert Wesenhagen te Coronie. Detail van ansichtkaart. Onderdeel van een groep objecten afkomstig van de familie Wesenhagen in Suriname.;Wesenhagen, Jacob Evert;1899;1901;foto$prentbriefkaart;papier;"";"";Coronie;overzeese geschiedenis$sociale geschiedenis;"";"";Wesenhagen, Jacob Evert;https://data.rijksmuseum.nl/200515187;https://id.rijksmuseum.nl/200515187
