recordnummer;term;broader_term;PID_overige.URI;PID_overige.URI;PID_overige.URI
560562;Onafhankelijkheidsplein;Paramaribo (stad);http://www.wikidata.org/entity/Q2033540;;
105862;Onoribo;Para;;;
560554;Oranjeplein (Paramaribo);Paramaribo (stad);http://www.wikidata.org/entity/Q2033540;;
103410;Oranjestraat;Paramaribo (stad);;;
103400;Palmentuin;Paramaribo (stad);;;
105863;Para;Suriname (Zuid-Amerika);http://vocab.getty.edu/tgn/1000920;http://www.wikidata.org/entity/Q1140891;
105866;Paramaribo (district);Suriname (Zuid-Amerika);http://vocab.getty.edu/tgn/7002584;http://www.wikidata.org/entity/Q3001;
51489;Paramaribo (stad);Paramaribo (district);http://vocab.getty.edu/tgn/7015387;http://www.wikidata.org/entity/Q3001;
107571;Paranam;Suriname (Zuid-Amerika);http://vocab.getty.edu/tgn/1024835;;
103418;Patrick Savanna;Suriname (Zuid-Amerika);;;
574117;Pierrekondre;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q111812569;;
148703;Pikin Slee;Boven-Suriname;http://www.wikidata.org/entity/Q83756034;;
102453;Plantage Accaribo;Suriname (Zuid-Amerika);;;
111011;Plantage Alliance;Suriname (Zuid-Amerika);;;
556466;Plantage Berg en Dal;Suriname (Zuid-Amerika);;;
559586;Plantage Brouwerslust;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q2638795;;
119539;Plantage Caledonia;Suriname (Zuid-Amerika);;;
103877;Plantage Clevia;Suriname (Zuid-Amerika);;;
94399;Plantage Cornelis Vriendschap;Suriname (Zuid-Amerika);;;
562924;Plantage Dordrecht;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q1827726;;
98916;Plantage Elisabethshoop;Suriname (Zuid-Amerika);;;
103865;Plantage Geyersvlijt;Paramaribo (stad);;;
105861;Plantage Groot-Chatillon;Suriname (Zuid-Amerika);;;
103878;Plantage Jagtlust;Suriname (Zuid-Amerika);;;
102602;Plantage Johanna-Catharina;Suriname (Zuid-Amerika);;;
569043;Plantage Kroonenburg;Commewijne;;;
119582;Plantage La Liberté;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q59116872;;
61074;Plantage Leasowes;Suriname (Zuid-Amerika);;;
103271;Plantage Ma Retraite;Suriname (Zuid-Amerika);;;
105858;Plantage Maasstroom;Suriname (Zuid-Amerika);;;
105860;Plantage Mariënbosch;Commewijne;;;
105859;Plantage Mariënburg;Commewijne;;;
548735;Plantage Meerzorg;Suriname (Zuid-Amerika);;;
105917;Plantage Morgenstond;Paramaribo (district);;;
105916;Plantage Nijd en Spijt;Commewijne;;;
573493;Plantage Palmeneribo;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q59133036;;
103532;Plantage Paradise;Suriname (Zuid-Amerika);;;
103531;Plantage Peperpot;Suriname (Zuid-Amerika);;;
569042;Plantage Rosenburg;Commewijne;;;
102454;Plantage Rust en Werk;Suriname (Zuid-Amerika);;;
573492;Plantage Surimombo;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q59133905;;
105923;Plantage Suzanna's Daal;Commewijne;;;
556547;Plantage 't Vertrouwen;Suriname (Zuid-Amerika);;;
103272;Plantage Tourtonne;Suriname (Zuid-Amerika);;;
569047;Plantage Voorburg;Suriname (district);;;
103533;Plantage Waterloo;Suriname (Zuid-Amerika);;;
561428;Plantage Wolfenbuttel;Suriname (Zuid-Amerika);;;
560078;Post Leyden;Paramaribo (stad);;;
567324;Post Mindrineti;Suriname (Zuid-Amerika);;;
103392;Presidentieel Paleis;Paramaribo (stad);;;
103416;Republiek (Suriname);Paramaribo (stad);;;
561503;Rosakerk;Paramaribo (stad);;;
111006;'s Lands Hospitaal;Paramaribo (stad);;;
103876;Sabakoe;Suriname (Zuid-Amerika);;;
567319;Sarakreek;Brokopondo;http://www.wikidata.org/entity/Q2398165;;
105867;Saramacca;Suriname (Zuid-Amerika);;;
103415;Saramaccastraat;Paramaribo (stad);;;
573898;Sint Petrus en Pauluskerk (Paramaribo);Paramaribo (stad);;;
117201;Sint-Petrus-en-Pauluskathedraal;Paramaribo (stad);http://www.wikidata.org/entity/Q2736107;;
148702;Sipaliwini;Suriname (Zuid-Amerika);http://vocab.getty.edu/tgn/7593330;;
