

recordnummer,objectnummer,PID_overige.URI,wikidata_url,wikimedia_url
62052,NG-VG-1-2604,http://hdl.handle.net/10934/RM0001.COLLECT.62052,,"https://commons.wikimedia.org/wiki/File:Overlijden_van_Theodorus_Knoeffel,_stichter_van_de_plantage_Elisabeth's_Hoop_in_Suriname_penning_geslagen_op_last_van_zijn_broer_P.L._Knoeffel,_NG-VG-1-2604.jpg"
63478,NG-VG-1-3990,http://hdl.handle.net/10934/RM0001.COLLECT.63478,,"https://commons.wikimedia.org/wiki/File:Matroos_P.C._Bakker,_wegens_het_redden_van_een_drenkeling_uit_de_Suriname-rivier,_ter_ere_van_Willem_III,_koning_der_Ne,_NG-VG-1-3990.jpg"
63635,RP-T-1900-A-4483,http://hdl.handle.net/10934/RM0001.COLLECT.63635,,"https://commons.wikimedia.org/wiki/File:Manakin,_de_Surinaamse_vogel_Pipra_Aureola.jpeg"
66241,NG-NM-8969,http://hdl.handle.net/10934/RM0001.COLLECT.66241,,"https://commons.wikimedia.org/wiki/File:Erepenning_voor_George,_slaaf_van_de_plantage_Leasowes,_NG-NM-8969.jpg"
89752,RP-P-1912-76,http://hdl.handle.net/10934/RM0001.COLLECT.89752,,
109316,RP-P-1938-1112,http://hdl.handle.net/10934/RM0001.COLLECT.109316,,"https://commons.wikimedia.org/wiki/File:Surinamers_en_Hollanders_drinken_thee,_RP-P-1938-1112.jpg"
121929,RP-P-1909-1779,http://hdl.handle.net/10934/RM0001.COLLECT.121929,,"https://commons.wikimedia.org/wiki/File:Gezicht_op_Post_Gelderland_en_Joden_Savannah_Gezigten_uit_Neerland's_West-Indien_(serietitel),_RP-P-1909-1779.jpg"
121930,RP-P-1911-322,http://hdl.handle.net/10934/RM0001.COLLECT.121930,,"https://commons.wikimedia.org/wiki/File:Gezicht_op_de_waterkant_en_reede_van_Paramaribo_Gezigten_uit_Neerland's_West-Indien_(serietitel),_RP-P-1911-322.jpg"
121931,RP-P-1911-321,http://hdl.handle.net/10934/RM0001.COLLECT.121931,,"https://commons.wikimedia.org/wiki/File:Gouvernementshuis_en_plein_te_Paramaribo_Gezigten_uit_Neerland's_West-Indien_(serietitel),_RP-P-1911-321.jpg"
121934,RP-P-1909-1780,http://hdl.handle.net/10934/RM0001.COLLECT.121934,,"https://commons.wikimedia.org/wiki/File:Gezicht_op_de_synagoge_en_het_kerkhof_vanaf_het_Cordonpad_gezien_Gezigten_uit_Neerland's_West-Indien_(serietitel),_RP-P-1909-1780.jpg"
137232,RP-P-1904-3844,http://hdl.handle.net/10934/RM0001.COLLECT.137232,,"https://commons.wikimedia.org/wiki/File:Afbeeldingen_van_boomen_uit_de_tropen._Nos._XXIX_en_XXX_eener_voor_de_Société_des_Beaux_Arts_uitgegeven_reeks,_RP-P-1904-3844.jpg"
143370,RP-P-1896-A-19368-685,http://hdl.handle.net/10934/RM0001.COLLECT.143370,,"https://commons.wikimedia.org/wiki/File:Surinaamse_reuzenvlinder_XVIII,_RP-P-1896-A-19368-685.jpg"
143371,RP-P-1896-A-19368-686,http://hdl.handle.net/10934/RM0001.COLLECT.143371,,"https://commons.wikimedia.org/wiki/File:Surinaamse_reuzenvlinder_XIX,_RP-P-1896-A-19368-686.jpg"
182427,RP-P-OB-65.081,http://hdl.handle.net/10934/RM0001.COLLECT.182427,,"https://commons.wikimedia.org/wiki/File:Portret_van_Joan_Jacob_Mauricius,_RP-P-OB-65.081.jpg"
196391,RP-P-1911-313,http://hdl.handle.net/10934/RM0001.COLLECT.196391,,"https://commons.wikimedia.org/wiki/File:Gezicht_op_Paramaribo,_RP-P-1911-313.jpg"
199115,RP-P-1931-1685,http://hdl.handle.net/10934/RM0001.COLLECT.199115,,"https://commons.wikimedia.org/wiki/File:Oude_huizen_en_water_aan_het_Surinameplein_te_Amsterdam,_RP-P-1931-1685.jpg"
215121,RP-P-1949-317,http://hdl.handle.net/10934/RM0001.COLLECT.215121,,
227998,RP-P-1878-A-2313,http://hdl.handle.net/10934/RM0001.COLLECT.227998,,"https://commons.wikimedia.org/wiki/File:Allegorische_voorstelling_van_Mercurius_met_personificaties_van_Afrika,_Amerika,_Azië_en_Europa,_RP-P-1878-A-2313.jpg"
