id,type,title,canonical_url,short_url,latitude,longitude
"2129","fort","Sommelsdijk, fort","https://www.atlasofmutualheritage.nl/page/2129/sommelsdijk-fort","https://www.atlasofmutualheritage.nl/id/2129","5.86199","-54.865408"
"9757","post","Suriname River","https://www.atlasofmutualheritage.nl/page/9757/suriname-river","https://www.atlasofmutualheritage.nl/id/9757","5.836608","-55.105858"
"9980","post","Tempati (creek)","https://www.atlasofmutualheritage.nl/page/9980/tempati-creek","https://www.atlasofmutualheritage.nl/id/9980","5.3833306","-54.666672"
"7746","post","Torarica meer","https://www.atlasofmutualheritage.nl/page/7746/torarica-meer","https://www.atlasofmutualheritage.nl/id/7746","5.316666667","-55.01666667"
"7785","post","Uijtkijk","https://www.atlasofmutualheritage.nl/page/7785/uijtkijk","https://www.atlasofmutualheritage.nl/id/7785","0","0"
"7784","post","Victoria","https://www.atlasofmutualheritage.nl/page/7784/victoria","https://www.atlasofmutualheritage.nl/id/7784","5.146127","-54.99748"
"7774","post","Vredenburg","https://www.atlasofmutualheritage.nl/page/7774/vredenburg","https://www.atlasofmutualheritage.nl/id/7774","0","0"
"10173","post","Wayamoe Creek","https://www.atlasofmutualheritage.nl/page/10173/wayamoe-creek","https://www.atlasofmutualheritage.nl/id/10173","5.8166694","-54.6666722"
"7747","post","Zandpunt","https://www.atlasofmutualheritage.nl/page/7747/zandpunt","https://www.atlasofmutualheritage.nl/id/7747","0","0"
"2053","fort","Zeelandia, fort (Paramaribo)","https://www.atlasofmutualheritage.nl/page/2053/zeelandia-fort-paramaribo","https://www.atlasofmutualheritage.nl/id/2053","5.825188","-55.149705"
"7762","post","Zeven Provincien","https://www.atlasofmutualheritage.nl/page/7762/zeven-provincien","https://www.atlasofmutualheritage.nl/id/7762","0","0"
